name;first_name;chains
Эзетимиб таблетки 10мг №30;Эзетимиб;name_apr_W
Моксонидин таблетки 0,2мг №30;Моксонидин;name_apr_W
Рабиет капс. 20мг №14;Рабиет;name_apr_W
таблетки от кашля таблетки №20;таблетки;name_apr_W
Ацетилсалициловая кислота таблетки 500мг №20;Ацетилсалициловая;name_apr_W
Анальгин таблетки 500мг №10;Анальгин;name_apr_W
Симвастатин таблетки 10мг №30;Симвастатин;name_apr_W
Бисопролол таблетки 10мг №50;Бисопролол;name_apr_W
Уголь активированный таблетки 250мг №20;Уголь;name_apr_W
Андипал таблетки №10;Андипал;name_apr_W
Престанс таблетки 5мг+10мг №30;Престанс;name_apr_W
Висмута трикалия дицитрат таблетки 120мг №112;Висмута;name_apr_W
Аторвастатин таблетки 40мг №30;Аторвастатин;name_apr_W
Небиволол таблетки 5мг №28;Небиволол;name_apr_W
Скипидарная мазь 25г;Скипидарная;name_apr_W
Анаприлин таблетки 40мг №50;Анаприлин;name_apr_W
Амброксол раствор для ингаляций 7,5мг/мл флакон 100мл;Амброксол;name_apr_W
Камфорный спирт раствор 10% флакон 40мл;Камфорный;name_apr_W
Лозартан таблетки 50мг №30;Лозартан;name_apr_W
Кетонал таблетки 100мг №20;Кетонал;name_apr_W
Мелоксикам таблетки 15мг №10;Мелоксикам;name_apr_W
Метопролол таблетки 25мг №60;Метопролол;name_apr_W
Эналаприл таблетки 20мг №50;Эналаприл;name_apr_W
Бисопролол таблетки 5мг №50;Бисопролол;name_apr_W
Кокарбоксилаза лиофилизат для приготовления раствора для инъекций 50мг ампулы 2мл №5;Кокарбоксилаза;name_apr_W
Бисопролол таблетки 5мг №30;Бисопролол;name_apr_W
Камфорный спирт раствор 2% флакон 40мл;Камфорный;name_apr_W
Амлодипин таблетки 5мг №60;Амлодипин;name_apr_W
Амлодипин таблетки 5мг №90;Амлодипин;name_apr_W
Парацетамол таблетки 500мг №20;Парацетамол;name_apr_W
Нимесулид таблетки 100мг №20;Нимесулид;name_apr_W
Эналаприл таблетки 10мг №20;Эналаприл;name_apr_W
Престанс таблетки 10мг+5мг №30;Престанс;name_apr_W
Лозартан таблетки 100мг №90;Лозартан;name_apr_W
Ибупрофен капс. 200мг №20;Ибупрофен;name_apr_W
Розувастатин таблетки 5мг №90;Розувастатин;name_apr_W
Моксонидин таблетки 0,4мг №60;Моксонидин;name_apr_W
Меновазин раствор для наружного применения флакон 40мл;Меновазин;name_apr_W
Дюфалак сироп со вкусом сливы флакон 500мл;Дюфалак;name_apr_W
Ацеклофенак таблетки 100мг №20;Ацеклофенак;name_apr_W
Доктор Мом мазь 20г;Доктор;name_apr_W
Барсукор барсучий жир капс. №100;Барсукор;name_apr_W
Бравадин таблетки 5мг №28;Бравадин;name_apr_W
Зеленина капли фл. 25мл;Зеленина;name_apr_W
Сенаде таблетки №500;Сенаде;name_apr_W
Амлодивел таблетки 10мг №30;Амлодивел;name_apr_W
Ко-ренитек таблетки 20мг+12.5мг №28;Ко-ренитек;name_apr_W
Коронал таблетки 10мг №30;Коронал;name_apr_W
Золотая звезда карандаш для ингаляций 1.3г;Золотая;name_apr_W
Телсартан таблетки 80мг №30;Телсартан;name_apr_W
Пантопразол таблетки 20мг №14;Пантопразол;name_apr_W
Бисакодил суппозитории ректальные 10мг №10;Бисакодил;name_apr_W
Легалон капс. 70мг №60;Легалон;name_apr_W
Эзиклен концентрат  флакон 176мл №2;Эзиклен;name_apr_W
Флебодиа 600 таблетки 600мг №30;Флебодиа;name_apr_W
Кетопрофен-Лор раствор для полоскания 16мг/мл флакон 200мл;Кетопрофен-Лор;name_apr_W
Верошпилактон капс. 50мг №30;Верошпилактон;name_apr_W
Тонзилгон Н капли для приема внутрь флакон 50мл;Тонзилгон;name_apr_W
Лимфомиозот капли флакон 30мл;Лимфомиозот;name_apr_W
Дюфалак сироп 15мл пакетики №10;Дюфалак;name_apr_W
Панангин таблетки №100;Панангин;name_apr_W
Диован таблетки 160мг №28;Диован;name_apr_W
Нитросорбид таблетки 10мг №60;Нитросорбид;name_apr_W
Троксевазин Нео гель 2% 40г;Троксевазин;name_apr_W
Бравадин таблетки 5мг №56;Бравадин;name_apr_W
Омакор капс. №28;Омакор;name_apr_W
Барсучий жир обогащенный капс. №120;Барсучий;name_apr_W
Бравадин таблетки 7,5мг №56;Бравадин;name_apr_W
Троксевазин гель 2% 100г;Троксевазин;name_apr_W
Верошпилактон таблетки 25мг №20;Верошпилактон;name_apr_W
Ко-Эксфорж таблетки 10мг+160мг+12,5мг №28;Ко-Эксфорж;name_apr_W
Альфазокс раствор для приема внутрь пак-саше 10мл №20;Альфазокс;name_apr_W
Дальнева таблетки 5мг+8мг №90;Дальнева;name_apr_W
Ко-Дальнева таблетки 5мг+2,5мг+8мг №30;Ко-Дальнева;name_apr_W
Эскорди Кор таблетки 5мг №30;Эскорди;name_apr_W
Коринфар ретард таблетки 20мг №50;Коринфар;name_apr_W
Секнидокс таблетки 1г №2;Секнидокс;name_apr_W
Рамазид Н таблетки 5мг+25мг №100;Рамазид;name_apr_W
Верапамил таблетки 40мг №50;Верапамил;name_apr_W
Вамлосет таблетки 10мг+160мг №30;Вамлосет;name_apr_W
Лориста НД таблетки 100мг+25мг №60;Лориста;name_apr_W
Амприлан НД таблетки 5мг+25мг №30;Амприлан;name_apr_W
Галидор таблетки 100мг №50;Галидор;name_apr_W
Телмиста Н таблетки 80мг+12,5мг №28;Телмиста;name_apr_W
Ко-Дальнева таблетки 5мг+2,5мг+8мг №90;Ко-Дальнева;name_apr_W
Эналаприл таблетки 2,5мг №20;Эналаприл;name_apr_W
Метопролол таблетки 100мг №50;Метопролол;name_apr_W
Мукофальк гранулы для приготовления суспензии Апельсин 5г пакеты №20;Мукофальк;name_apr_W
Периндоприл Тева таблетки 5мг №30;Периндоприл;name_apr_W
Галидор раствор для инъекций 25мг/мл ампулы 2мл №10;Галидор;name_apr_W
Кальцигард ретард таблетки 20мг №100;Кальцигард;name_apr_W
Дальнева таблетки 10мг+8мг №90;Дальнева;name_apr_W
Капозид таблетки 50мг+25мг №28;Капозид;name_apr_W
Макмирор таблетки 200мг №20;Макмирор;name_apr_W
Эксфорж таблетки 5мг+160мг №28;Эксфорж;name_apr_W
Гепа-мерц гранулы для приготовления раствора для внутреннего применения 3г пакет 5г №30;Гепа-мерц;name_apr_W
Буденофальк капс. 3мг №20;Буденофальк;name_apr_W
Отривин спрей назальный 0,1% флакон 10мл;Отривин;name_apr_W
Ко-Диротон таблетки 20мг+12,5мг №30;Ко-Диротон;name_apr_W
Валз таблетки 80мг №28;Валз;name_apr_W
Амлодипин Кардио таблетки 10мг №30;Амлодипин;name_apr_W
Папазол таблетки №10;Папазол;name_apr_W
Метопролол таблетки 50мг №30 Акрихин ХФК;Метопролол;name_apr_W
Пепсан Р гель 10г саше №30;Пепсан;name_apr_W
Эспумизан бэби капли 100мг/мл флакон 30мл;Эспумизан;name_apr_W
Бипрол таблетки 5мг №30;Бипрол;name_apr_W
Валз Комби таблетки 10мг+160мг №28;Валз;name_apr_W
Дальнева таблетки 5мг+4мг №30;Дальнева;name_apr_W
Калчек таблетки 10мг №30;Калчек;name_apr_W
Бифидумбактерин форте пор.5 доз №10;Бифидумбактерин;name_apr_W
Телсартан Н таблетки 40мг+12.5мг №28;Телсартан;name_apr_W
Осельтамивир Авексима капс. 75мг №10;Осельтамивир;name_apr_W
Креон капс. 10000 ЕД №50 Россия;Креон;name_apr_W
Галавит таблетки 25мг №10;Галавит;name_apr_W
Омез ДСР капс. №30;Омез;name_apr_W
Проктостезол суппозитории ректальные №10;Проктостезол;name_apr_W
Гептрал таблетки 500мг №20 Италия;Гептрал;name_apr_W
Разо таблетки 20мг №30;Разо;name_apr_W
Гепа-мерц концентрат для приготовления раствора для инфузий 5г ампулы 10мл №10;Гепа-мерц;name_apr_W
Микролакс микроклизма для детей 5мл №4;Микролакс;name_apr_W
Ренни таблетки жевательные Мятные без сахара №24;Ренни;name_apr_W
Дюфалак сироп флакон 200мл;Дюфалак;name_apr_W
Лаеннек раствор для инъекций ампулы 2мл №10;Лаеннек;name_apr_W
Телпрес таблетки 80мг №98;Телпрес;name_apr_W
Проктозан суппозитории ректальные №10;Проктозан;name_apr_W
Дюфалак сироп флакон 500мл;Дюфалак;name_apr_W
Панкреатин таблетки 30 ЕД №50;Панкреатин;name_apr_W
Бускопан суппозитории ректальные 10мг №10;Бускопан;name_apr_W
Йокс аэрозоль флакон 30мл;Йокс;name_apr_W
Генферон лайт капли назальные флакон 10мл;Генферон;name_apr_W
Триазавирин капс. 250мг №10;Триазавирин;name_apr_W
Флорок Форте капс. №10;Флорок;name_apr_W
Ренни таблетки жевательные Апельсин №24;Ренни;name_apr_W
Гевискон форте для беременных суспензия для приема внутрь 10мл саше №12;Гевискон;name_apr_W
Синупрет капли для приема внутрь флакон 100мл;Синупрет;name_apr_W
Эссенциале форте Н капс. 300мг №30;Эссенциале;name_apr_W
Ренни таблетки жевательные Мятные без сахара №48;Ренни;name_apr_W
Гепабене капс. №30;Гепабене;name_apr_W
Гептрал таблетки 500мг №20 Россия;Гептрал;name_apr_W
Фитомуцил Норм банка 250г;Фитомуцил;name_apr_W
Гутталакс капли флакон 15мл;Гутталакс;name_apr_W
Дриптан таблетки 5мг №30;Дриптан;name_apr_W
Карсил драже 35мг №80;Карсил;name_apr_W
Ренни таблетки жевательные Апельсин №12;Ренни;name_apr_W
Экспортал пор. 10г пак. №20;Экспортал;name_apr_W
Гевискон таблетки жевательные Мята №24;Гевискон;name_apr_W
Париет таблетки 20мг №14;Париет;name_apr_W
Масло облепиховое флакон 50мл;Масло;name_apr_W
Масло облепиховое флакон 100мл;Масло;name_apr_W
Закофальк №MX таблетки №30;Закофальк;name_apr_W
Эссенциале Н раствор для инъекций 250мг/5мл ампулы 5мл №5;Эссенциале;name_apr_W
Гевискон Двойное действие суспензия для приема внутрь 10мл пакет Мята №12;Гевискон;name_apr_W
Гепазолон суппозитории ректальные №10;Гепазолон;name_apr_W
Гутталакс Экспресс суппозитории ректальные 10мг №6;Гутталакс;name_apr_W
Синупрет таблетки №50;Синупрет;name_apr_W
Парацетамол Экстратаблетки таблетки №20;Парацетамол;name_apr_W
АЦЦ лонг таблетки шипучие 600мг №20;АЦЦ;name_apr_W
Ауробин ректальная мазь 20г;Ауробин;name_apr_W
Тонзилгон Н таблетки №50;Тонзилгон;name_apr_W
Фортранс пор. 64г пакеты №4;Фортранс;name_apr_W
Легалон капс. 140мг №30;Легалон;name_apr_W
Алоэ сок флакон 50мл;Алоэ;name_apr_W
Доктор Мом пастилки Апельсин №20;Доктор;name_apr_W
Доктор Мом сироп флакон 100мл;Доктор;name_apr_W
таблетки от кашля/Термопсол таблетки №50;таблетки;name_apr_W
Оки раствор для полоскания 16мг/мл флакон 150мл;Оки;name_apr_W
таблетки от кашля/Термопсол таблетки №20;таблетки;name_apr_W
Лазолван раствор 30мг/5мл флакон 100мл;Лазолван;name_apr_W
Гевискон суспензия для приема внутрь флакон 150мл;Гевискон;name_apr_W
Риностоп спрей назальный 0,1% флакон 15мл;Риностоп;name_apr_W
Тизин классик спрей назальный 0,05% флакон 10мл;Тизин;name_apr_W
Нафтизин капли назальные 0.05% флакон 10мл;Нафтизин;name_apr_W
Тизин классик спрей назальный 0,1% флакон 10мл;Тизин;name_apr_W
Римантадин таблетки 50мг №20;Римантадин;name_apr_W
Доктор Мом пастилки для рассасывания Малина №20;Доктор;name_apr_W
Доктор Мом пастилки для рассасывания Лимон №20;Доктор;name_apr_W
Звездочка спрей назальный 0,1% флакон 15мл;Звездочка;name_apr_W
Эйфа АЦ  гранулы 200мг пакеты №20;Эйфа;name_apr_W
Римантадин таблетки для приема внутрь 50мг №20;Римантадин;name_apr_W
Циклоферон таблетки 150мг №20;Циклоферон;name_apr_W
Ринонорм спрей назальный 140мкг/доза флакон 20мл;Ринонорм;name_apr_W
Циклоферон таблетки 150мг №10;Циклоферон;name_apr_W
Спазмекс таблетки 15мг №30;Спазмекс;name_apr_W
Тонзилгон Н капли для приема внутрь флакон 100мл;Тонзилгон;name_apr_W
Пилобакт АМ набор комбинированный таблетки и капс. №56;Пилобакт;name_apr_W
Ацетилцистеин гранулы  200мг №20;Ацетилцистеин;name_apr_W
Нексиум таблетки 40мг №28;Нексиум;name_apr_W
Нигепан суппозитории ректальные №10;Нигепан;name_apr_W
Гексорал раствор для местного применения 0,1% флакон 200мл;Гексорал;name_apr_W
Кленбутерол сироп флакон 100мл;Кленбутерол;name_apr_W
Гептрал лиофилизат для приготовления раствора для внутривенного и внутримышечного введения 400мг флакон №5;Гептрал;name_apr_W
Дюфалак сироп флакон 1л;Дюфалак;name_apr_W
Нексиум таблетки 20мг №28;Нексиум;name_apr_W
Ринонорм спрей назальный 0.05% флакон 20мл;Ринонорм;name_apr_W
Имудон таблетки №40;Имудон;name_apr_W
Спазмекс таблетки 5мг №30;Спазмекс;name_apr_W
Анаприлин Реневал таблетки 10мг №112;Анаприлин;name_apr_W
Занидип рекордати таблетки 20мг №28;Занидип;name_apr_W
Алмагель А суспензия для приема внутрь флакон 170мл;Алмагель;name_apr_W
Хофитол таблетки №60;Хофитол;name_apr_W
Алмагель А суспензия саше 10мл №10;Алмагель;name_apr_W
Энтерофурил капс. 100мг №30;Энтерофурил;name_apr_W
Ацидин-пепсин таблетки 250мг №50;Ацидин-пепсин;name_apr_W
Релиф Адванс мазь ректальная 28,4г;Релиф;name_apr_W
Линекс Форте капс. №28;Линекс;name_apr_W
Холикрон таблетки 200мг №90;Холикрон;name_apr_W
Релиф мазь ректальная 28.4г;Релиф;name_apr_W
Дюспаталин капс. 200мг №60;Дюспаталин;name_apr_W
Ретч таблетки 50мг №70;Ретч;name_apr_W
Релиф Адванс суппозитории ректальные №10;Релиф;name_apr_W
Линекс Форте капс. №14;Линекс;name_apr_W
Креон капс. 25000 ЕД №50 Россия;Креон;name_apr_W
Метронидазол таблетки 250мг №20;Метронидазол;name_apr_W
Маалокс суспензия флакон 250мл;Маалокс;name_apr_W
Метеоспазмил капс. №30;Метеоспазмил;name_apr_W
Дазолик таблетки 500мг №10;Дазолик;name_apr_W
Энтерофурил капс. 200мг №16;Энтерофурил;name_apr_W
Бейби Калм капли флакон 15мл;Бейби;name_apr_W
Бромгексин для приема внутрь 4мг/5мл флакон 100мл;Бромгексин;name_apr_W
Ингасалин  раствор для ингаляций 3% ампулы 5мл №10;Ингасалин;name_apr_W
Аквалор Горло спрей Алоэ вера+Ромашка флакон 150мл;Аквалор;name_apr_W
Алмагель суспензия флакон 170мл;Алмагель;name_apr_W
Креон капс. 10000 ЕД №20 Россия;Креон;name_apr_W
Телмиста АМ таблетки 5мг+40мг №28;Телмиста;name_apr_W
Эубикор пор.3г №60;Эубикор;name_apr_W
Постеризан форте мазь ректальная 25г;Постеризан;name_apr_W
Полисорб МП пор.банка 50г;Полисорб;name_apr_W
Тримедат таблетки 200мг №30;Тримедат;name_apr_W
Прокто-гливенол суппозитории ректальные №10;Прокто-гливенол;name_apr_W
Итоприд таблетки 50мг №40;Итоприд;name_apr_W
Смекта пор.для приготовления суспензии для приема внутрь Клубника 3г пакетики №30;Смекта;name_apr_W
Бак-Сет Бэби пор.1г саше №10;Бак-Сет;name_apr_W
Ганатон таблетки 50мг №40;Ганатон;name_apr_W
Метеоспазмил капс. №60;Метеоспазмил;name_apr_W
Полисорб МП пор.для суспензии банка 25г;Полисорб;name_apr_W
Хофитол таблетки №180;Хофитол;name_apr_W
Холосас сироп флакон 300г (215мл);Холосас;name_apr_W
Метрогил раствор для инфузий 5мг/мл флакон 100мл;Метрогил;name_apr_W
Ганатон таблетки 50мг №70;Ганатон;name_apr_W
Холензим таблетки №50;Холензим;name_apr_W
Смекта пор.для приготовления суспензии для приема внутрь Апельсин 3г пакетики №20;Смекта;name_apr_W
Метронидазол Реневал таблетки 250мг №24;Метронидазол;name_apr_W
Фосфалюгель гель для приема внутрь 16 г пакетики №20;Фосфалюгель;name_apr_W
Линекс Форте капс. №7;Линекс;name_apr_W
Гастал таблетки №30;Гастал;name_apr_W
Фестал таблетки №100;Фестал;name_apr_W
Метронидазол таблетки 250мг №40;Метронидазол;name_apr_W
Колдрекс хотрем пор. Лимон/Мед пакетики №10;Колдрекс;name_apr_W
Римантадин Кидс сироп 2мг/мл флакон 200мл;Римантадин;name_apr_W
Антигриппин-анви капс. №20;Антигриппин-анви;name_apr_W
Лормицидин спрей для полости рта 50мл;Лормицидин;name_apr_W
Геделикс сироп флакон 100мл;Геделикс;name_apr_W
Лизобакт таблетки №30;Лизобакт;name_apr_W
Бронхобос сироп 125мг/5мл флакон 200мл;Бронхобос;name_apr_W
Пропосол спрей флакон 50г;Пропосол;name_apr_W
Граммидин с анестетиком спрей флакон 112 доз;Граммидин;name_apr_W
Аскорил таблетки №20;Аскорил;name_apr_W
Бронхобос сироп 250мг/5мл флакон 200мл;Бронхобос;name_apr_W
Граммидин Нео таблетки №18;Граммидин;name_apr_W
Триазавирин капс. 250мг №20;Триазавирин;name_apr_W
Африн спрей назальный 0,05% флакон 15мл;Африн;name_apr_W
Амбробене раствор для ингаляций 7,5мг/мл флакон 100мл;Амбробене;name_apr_W
Анвимакс капс. №20;Анвимакс;name_apr_W
Тантум верде таблетки Мята №20;Тантум;name_apr_W
Граммидин детский спрей флакон 112 доз;Граммидин;name_apr_W
Лазолван раствор для приема внутрь и ингаляций 15мг/2мл флакон 100мл;Лазолван;name_apr_W
Африн увлажняющий спрей назальный 0,05% флакон 15мл;Африн;name_apr_W
Нафтизин спрей назальный 0.1% флакон 15мл;Нафтизин;name_apr_W
Пиносол капли назальные флакон 10мл;Пиносол;name_apr_W
Граммидин спрей флакон 112 доз;Граммидин;name_apr_W
Називин капли назальные 0,05% флакон 10мл;Називин;name_apr_W
Стрепсилс таблетки Детский без сахара Клубника №16;Стрепсилс;name_apr_W
Арбидол капс. 100мг №20;Арбидол;name_apr_W
Мукалтин таблетки №20;Мукалтин;name_apr_W
Лизобакт Комплит спрей 125 доз флакон 30 мл;Лизобакт;name_apr_W
Эдомари капс. 300мг №20;Эдомари;name_apr_W
Аскорил таблетки №10;Аскорил;name_apr_W
Аквалор Экстра форте Дуо Алоэ и ромашка спрей назальный флакон 150мл;Аквалор;name_apr_W
Лоролизин таблетки №30;Лоролизин;name_apr_W
Осельтамивир Акрихин капс. 75мг №10;Осельтамивир;name_apr_W
Дуоколд пор. Лимон День №3/Ночь №1;Дуоколд;name_apr_W
Амброксол Велфарм таблетки 30мг №30;Амброксол;name_apr_W
Бронхипрет сироп флакон 100мл;Бронхипрет;name_apr_W
Бронхипрет сироп флакон 50мл;Бронхипрет;name_apr_W
Генферон лайт спрей назальный 50тыс.МЕ 100доз;Генферон;name_apr_W
Полидекса спрей назальный флакон 15мл;Полидекса;name_apr_W
Ацетилцистеин гранулы  пакеты 600мг №10;Ацетилцистеин;name_apr_W
Бромгексин таблетки 8мг №28;Бромгексин;name_apr_W
Флуимуцил таблетки шипучие 600мг №10;Флуимуцил;name_apr_W
Флуимуцил таблетки шипучие 600мг №20;Флуимуцил;name_apr_W
Пертуссин сироп флакон пэт 100мл Флора Кавказа;Пертуссин;name_apr_W
Солодки корня сироп пэт 100г;Солодки;name_apr_W
Амброксол сироп 15мг/5мл флакон 100мл;Амброксол;name_apr_W
Флуимуцил ИТ лиофилизат для приготовления раствора для инъекций и ингаляций №3;Флуимуцил;name_apr_W
Каметон аэрозоль флакон 45г;Каметон;name_apr_W
Бронхобос капс. 375мг №30;Бронхобос;name_apr_W
Каметон спрей флакон 30г;Каметон;name_apr_W
Гомеовокс драже №60;Гомеовокс;name_apr_W
Хайрабезол таблетки 20мг №30;Хайрабезол;name_apr_W
Тримедат Форте таблетки 300мг №60;Тримедат;name_apr_W
Полыни настойка флакон 25мл;Полыни;name_apr_W
Индометацин суппозитории ректальные 100мг №10;Индометацин;name_apr_W
Эффералган таблетки шипучие 500мг №16;Эффералган;name_apr_W
Траумель С мазь 50г;Траумель;name_apr_W
Цитрамон П таблетки №10;Цитрамон;name_apr_W
Мовалис раствор15мг/мл ампулы 1,5мл №3;Мовалис;name_apr_W
Анальгин Реневал таблетки 500мг №10;Анальгин;name_apr_W
Цитрамон П таблетки №20;Цитрамон;name_apr_W
Анальгин таблетки 500мг №20;Анальгин;name_apr_W
Андипал таблетки №20;Андипал;name_apr_W
Новокаин раствор для инъекций 0,5% ампулы 5мл №10;Новокаин;name_apr_W
Парацетамол суспензия для приема внутрь 2,4% Апельсин флакон 200мл;Парацетамол;name_apr_W
Анальгин р-р 50% амп. 2мл №10;Анальгин;name_apr_W
Спазмалгон эффект таблетки №30;Спазмалгон;name_apr_W
Вибуркол суппозитории ректальные №12;Вибуркол;name_apr_W
Долобене гель 90г;Долобене;name_apr_W
Диклофенак ретард таблетки 100мг №20;Диклофенак;name_apr_W
Кофицил-плюс таблетки №20;Кофицил-плюс;name_apr_W
Нурофен экспресс гель 5% 50г;Нурофен;name_apr_W
Бом-Бенге мазь 25г;Бом-Бенге;name_apr_W
Золотая звезда бальзам 4г;Золотая;name_apr_W
Випросал В мазь 30г;Випросал;name_apr_W
Мелоксикам ДС раствор 10мг/мл ампулы 1,5мл №3;Мелоксикам;name_apr_W
Капсикам мазь 30г;Капсикам;name_apr_W
Дексалгин раствор для внутривенного и внутримышечного введения 25м/млг ампулы 2мл №5;Дексалгин;name_apr_W
Упсарин Упса таблетки шипучие 500мг №16;Упсарин;name_apr_W
Ринза таблетки №10;Ринза;name_apr_W
Тофф плюс капс. №10;Тофф;name_apr_W
Периндоприл Тева таблетки 10мг №30;Периндоприл;name_apr_W
Лориста НД таблетки 100мг+25мг №90;Лориста;name_apr_W
Ко-Дальнева таблетки 10мг+2,5мг+8мг №30;Ко-Дальнева;name_apr_W
