count_index,name_item_prop,parsing_day,Нозология,Действующее вещество,Группа товара,Бренд,Производитель,Страна,Форма выпуска,Рецепт,Условия хранения,"Действующее вещество, сборное название","Состав, вес (кратко)",Фармакотерапевтическая группа,Количество в упаковке,Other,nosology_1,nosology_2,nosology_3,nosology_4,nosology_5,active_ingredient_1,active_ingredient_2,active_ingredient_3,active_ingredient_4,active_ingredient_5,active_ingredient_6,active_ingredient_7,active_ingredient_8,active_ingredient_9,active_ingredient_10,active_ingredient_11,product_group_1,product_group_2,product_group_3,product_group_4,product_group_5,product_group_6,product_group_7,product_group_8,product_group_9,product_group_10,product_group_11,product_group_12,product_group_13,product_group_14,product_group_15,product_group_16,product_group_17,product_group_18,product_group_19,product_group_20,product_group_21,product_group_22
11_2023-05-07,Амлотоп таблетки 10мг №30,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Нестабильная стенокардия', 'Стенокардия с документально подтвержденным спазмом']",['Амлодипин'],[],['Амлотоп'],"['ЗАО ""Макиз Фарма""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин'],['10мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_2023-05-07,Бисопролол таблетки 5мг №50,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Бисопролол'],"['Арител', 'Биол', 'Конкор', 'Бипрол', 'Кординорм', 'Коронал', 'Нипертен', 'Бисогамма']",['Бисопролол'],['Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Бисопролол'],['5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_2023-05-07,Дигоксин Реневал таблетки 0.25мг №56,2023-05-07,[],['Дигоксин'],[],['Дигоксин'],"['ЗАО ""ПФК Обновление""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Дигоксин'],['0.25мг'],['Кардиотонические средства'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_2023-05-07,Нитроглицерин таблетки 0.5мг №40,2023-05-07,[],['Нитроглицерин'],[],['Нитроглицерин'],"['АО ""Медисорб""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Нитроглицерин'],['0.5мг'],['Прочие средства в кардиологии'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_2023-05-07,"Раеном таблетки 7,5мг №56",2023-05-07,"['Ишемическая болезнь сердца', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Ивабрадин'],['Кораксан'],['Раеном'],['Gedeon Richter/ Гедеон Рихтер'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Ивабрадин'],['7.5мг'],['Антиангинальные средства'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_2023-05-07,Раеном таблетки 5мг №56,2023-05-07,"['Ишемическая болезнь сердца', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Ивабрадин'],['Кораксан'],['Раеном'],['Gedeon Richter/ Гедеон Рихтер'],['Румыния'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Ивабрадин'],['5мг'],['Антиангинальные средства'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_2023-05-07,Калия оротат таблетки 0.5г №20,2023-05-07,[],['Оротовая кислота'],[],['Калия оротат'],['Авва-Рус/Сти-Мед-Сорб'],['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Оротовая кислота'],['500мг'],['Прочие средства в кардиологии'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_2023-05-07,Лиотон гель 30г,2023-05-07,[],['Гепарин натрия'],[],['Лиотон'],['Berlin-Chemie AG/ Берлин-Хеми '],['Италия'],['Гель для наружного применения'],['Без рецепта'],['Не выше 25 С'],['Гепарин натрия'],['1000МЕ'],['Венотонизирующие наружные средства'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2023-05-07,Боярышник настойка флакон 25мл,2023-05-07,"['Соматоформная дисфункция вегетативной нервной системы', 'Боль в области сердца']",['Боярышник плоды'],[],['Боярышник настойка'],"['ОАО ""Ивановская ФФ""']",['Россия'],['Настойка'],['Без рецепта'],['8-25 С'],['Боярышник плоды'],['Отсутствует'],['Прочие средства в кардиологии'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_2023-05-07,Солгар L-Аргинин таблетки 1000мг №90,2023-05-07,['Атеросклероз'],"['Аргинин', 'Аскорбиновая кислота', 'Йод', 'Магний', 'Пиридоксина гидрохлорид (В6)', 'Рибофлавин (В2)', 'Токоферол', 'Фолиевая кислота (В9)', 'Цинка цитрат']",[],['Solgar/ Солгар'],['Solgar Vitamin/ Солгар'],['США'],['Таблетки'],['Без рецепта'],['15-30 С'],['Аргинин+Аскорбиновая кислота+Токоферол+Пиридоксина гидрохлорид (В6)+Рибофлавин (В2)+Фолиевая кислота (В9)+Магний+Цинка цитрат+Йод'],['1000мг'],['Антиангинальные средства'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_2023-05-07,"Индапамид таблетки 1,5мг №30",2023-05-07,['Эссенциальная [первичная] гипертензия'],['Индапамид'],['Арифон ретард'],['Индапамид'],"['ЗАО ""ПФК Обновление""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Индапамид'],['1.5мг'],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_2023-05-07,Лиотон 1000 гель 50г,2023-05-07,[],['Гепарин натрия'],[],['Лиотон'],['Berlin-Chemie AG/ Берлин-Хеми '],['Италия'],['Гель для наружного применения'],['Без рецепта'],['Не выше 25 С'],['Гепарин натрия'],['1000МЕ'],['Венотонизирующие наружные средства'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2023-05-07,Рибоксин раствор для инъекций 2% ампулы 5мл №10,2023-05-07,['Ишемическая болезнь сердца'],['Инозин'],[],['Рибоксин раствор'],"['ПАО ""Биосинтез""']",['Россия'],['Раствор для инъекций'],['Рецептурный'],['Не выше 25 С'],['Инозин'],['20мг/мл'],['Прочие средства в кардиологии'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_2023-05-07,Корвалол капли для приема внутрь фл. 25мл Марбиофарм,2023-05-07,"['Неврастения', 'Раздражительность и озлобление', 'Ипохондрическое расстройство', 'Соматоформная дисфункция вегетативной нервной системы', 'Другие уточненные невротические расстройства']","['Мяты перечной масло', 'Фенобарбитал', 'Этилбромизовалерианат']","['Валемедин, Валокордин, Корвалол (ФГА)', 'Корвалол', 'Валосердин', 'Валокордин']",['Корвалол капли'],"['ОАО ""Марбиофарм""']",['Россия'],['Капли для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Фенобарбитал+Этилбромизовалерианат+Мяты перечной масло'],['20г+18.26г+1.42г'],['Прочие средства в кардиологии'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_2023-05-07,Корвалол форте таблетки №30,2023-05-07,"['Неврастения', 'Раздражительность и озлобление', 'Ипохондрическое расстройство', 'Соматоформная дисфункция вегетативной нервной системы', 'Невротическое расстройство неуточненное']","['Мяты перечной масло', 'Фенобарбитал', 'Этилбромизовалерианат']","['Валемедин, Валокордин, Корвалол (ФГА)', 'Корвалол', 'Валосердин', 'Валокордин']",['Корвалол таблетки'],"['ОАО ""Фармак""']",['Украина'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Фенобарбитал+Этилбромизовалерианат+Мяты перечной масло'],['11.34мг+12.42мг+0.88мг'],['Прочие средства в кардиологии'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26_2023-05-07,Валидол Реневал таблетки для рассасывания 60мг №16,2023-05-07,"['Неврастения', 'Невротическое расстройство неуточненное', 'Боль в области сердца', 'Укачивание при движении']",['Раствора ментола в ментиловом эфире кислоты изовалериановой'],[],['Валидол таблетки'],"['ЗАО ""ПФК Обновление""']",['Россия'],['Таблетки для рассасывания'],['Без рецепта'],['Не выше 25 С'],['Раствора ментола в ментиловом эфире кислоты изовалериановой'],['60мг'],['Прочие средства в кардиологии'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_2023-05-07,"Коэнзим композитум раствор для инъекций ампулы 2,2мл №5",2023-05-07,"['ДРУГИЕ ВИДЫ НЕДОСТАТОЧНОСТИ ПИТАНИЯ', 'Переутомление', 'Стрессовое состояние, не классифицированное в других рубриках']",['Смесь гомеопатическая'],[],['Коэнзим композитум'],['Biologische Heilmittel Heel GmbH/ Хеель'],['Германия'],['Раствор для инъекций'],['Рецептурный'],['15-25 С'],['Смесь гомеопатическая'],['Отсутствует'],['Средства стимулирующие ЦНС'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_2023-05-07,Ливазо таблетки 1мг №28,2023-05-07,"['Чистая гиперхолестеринемия', 'Смешанная гиперлипидемия']",['Питавастатин'],[],['Ливазо'],"['Recordati lreland Ltd./Рекордати Ирландия Лтд., Ирландия']",['Ирландия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Питавастатин'],['1мг'],['Гиполипидемические средства (Статины)'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_2023-05-07,Зенон таблетки 20мг+10мг №30,2023-05-07,"['Чистая гиперхолестеринемия', 'Смешанная гиперлипидемия']","['Розувастатин', 'Эзетимиб']",[],['Зенон'],['Sanofi Ilac Sanofi ve Ticaret A.S./ Санофи Илач Санайи ве Тиджарет А.Ш.'],['Турция'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Розувастатин+Эзетимиб'],['20мг+10мг'],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_2023-05-07,Зенон таблетки 10мг+10мг №30,2023-05-07,"['Чистая гиперхолестеринемия', 'Смешанная гиперлипидемия']","['Розувастатин', 'Эзетимиб']",[],['Зенон'],['Sanofi Ilac Sanofi ve Ticaret A.S./ Санофи Илач Санайи ве Тиджарет А.Ш.'],['Турция'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Розувастатин+Эзетимиб'],['10мг+10мг'],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_2023-05-07,Сувардио таблетки 10мг №28,2023-05-07,"['Чистая гиперхолестеринемия', 'Смешанная гиперлипидемия']",['Розувастатин'],[],['Сувардио'],['Sandoz GmbH/ Сандоз Гмбх'],['Словения'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Розувастатин'],['10мг'],['Гиполипидемические средства (Статины)'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_2023-05-07,Ро-статин таблетки 20мг №30,2023-05-07,"['Атеросклероз', 'Ишемическая болезнь сердца', 'Чистая гиперхолестеринемия', 'Чистая гиперглицеридемия', 'Смешанная гиперлипидемия']",['Розувастатин'],"['Акорта', 'Кардиолип', 'Крестор', 'Мертенил', 'Розарт', 'Липопрайм', 'Реддистатин', 'Розистарк', 'Розукард', 'Розулип', 'Роксера', 'Сувардио', 'Тевастор']",['Ро-статин'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Розувастатин'],['20мг'],['Гиполипидемические средства (Статины)'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_2023-05-07,Розувастатин Тева таблетки 10мг №30,2023-05-07,"['Атеросклероз', 'Ишемическая болезнь сердца', 'Чистая гиперхолестеринемия', 'Чистая гиперглицеридемия', 'Смешанная гиперлипидемия']",['Розувастатин'],"['Акорта', 'Кардиолип', 'Крестор', 'Мертенил', 'Розарт', 'Липопрайм', 'Реддистатин', 'Розистарк', 'Розукард', 'Розулип', 'Роксера', 'Сувардио', 'Тевастор']",['Розувастатин'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Розувастатин'],['10мг'],['Гиполипидемические средства (Статины)'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_2023-05-07,"Моксонидин таблетки 0,2мг №28",2023-05-07,['Эссенциальная [первичная] гипертензия'],['Моксонидин'],"['Физиотенз', 'Моксонитекс', 'Тензотран']",['Моксонидин'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Моксонидин'],['0.2мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35_2023-05-07,Лортенза таблетки 5мг+50мг №90,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Вторичная гипертензия']","['Амлодипин', 'Лозартан']",[],['Лортенза'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Амлодипин+Лозартан'],['5мг+50мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36_2023-05-07,Эналаприл таблетки 5мг №20,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Реноваскулярная гипертензия', 'Нестабильная стенокардия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность']",['Эналаприл'],"['Берлиприл', 'Рениприл', 'Ренитек', 'Эднит', 'Энам', 'Энап']",['Эналаприл'],"['ПАО ""Биосинтез""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Эналаприл'],['5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37_2023-05-07,"Моксонидин таблетки 0,4мг №28",2023-05-07,['Эссенциальная [первичная] гипертензия'],['Моксонидин'],"['Физиотенз', 'Моксонитекс', 'Тензотран']",['Моксонидин'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Моксонидин'],['0.4мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38_2023-05-07,Кордипин XL таблетки 40мг №20,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Стенокардия с документально подтвержденным спазмом', 'Синдром Рейно']",['Нифедипин'],[],['Кордипин'],['KRKA d.d./ КРКА'],['Словения'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Нифедипин'],['40мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39_2023-05-07,Апроваск таблетки 5мг+300мг №28,2023-05-07,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Ирбесартан']",[],['Апроваск'],['Sanofi Aventis Pharma/ Санофи Авентис'],['Мексика'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Амлодипин+Ирбесартан'],['5мг+300мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40_2023-05-07,Апровель таблетки 150мг №28,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)', 'Гломерулярные поражения при других болезнях, классифицированных в других рубриках']",['Ирбесартан'],[],['Апровель'],['Sanofi Aventis Pharma/ Санофи Авентис'],['Франция'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Ирбесартан'],['150мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41_2023-05-07,Апроваск таблетки 10мг+300мг №28,2023-05-07,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Ирбесартан']",[],['Апроваск'],['Sanofi Aventis Pharma/ Санофи Авентис'],['Мексика'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Амлодипин+Ирбесартан'],['10мг+300мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_2023-05-07,Хартил таблетки 10мг №28,2023-05-07,"['Инфаркт мозга', 'Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность', 'Другие болезни периферических сосудов', 'Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)']",['Рамиприл'],[],['Хартил'],['Egis Pharmaceuticals/ Эгис'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Рамиприл'],['10мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43_2023-05-07,"Энап таблетки 2,5мг №60",2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Реноваскулярная гипертензия', 'Нестабильная стенокардия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность']",['Эналаприл'],[],['Энап'],['KRKA d.d./ КРКА'],['Словения'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Эналаприл'],['2.5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44_2023-05-07,"Коапровель таблетки 300мг+12,5мг №28",2023-05-07,['Эссенциальная [первичная] гипертензия'],"['Гидрохлоротиазид', 'Ирбесартан']",[],['Коапровель'],['Sanofi Aventis Pharma/ Санофи Авентис'],['Франция'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Ирбесартан+Гидрохлоротиазид'],['300мг+12.5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45_2023-05-07,Телзап АМ таблетки 10мг+40мг №28,2023-05-07,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Телмисартан']",[],['Телзап АМ'],['Zentiva/ Зентива'],['Чехия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Телмисартан'],['10мг+40мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46_2023-05-07,Каптоприл таблетки 50мг №20,2023-05-07,['Ишемическая болезнь сердца'],['Каптоприл'],['Капотен'],['Каптоприл'],"['ООО ""Пранафарм""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Каптоприл'],['50мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47_2023-05-07,Эналаприл таблетки 20мг №20,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Реноваскулярная гипертензия', 'Нестабильная стенокардия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность']",['Эналаприл'],"['Берлиприл', 'Рениприл', 'Ренитек', 'Эднит', 'Энам', 'Энап']",['Эналаприл'],"['ЗАО ФП ""Оболенское""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Эналаприл'],['20мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48_2023-05-07,Телсартан АМ таблетки 5мг+40мг №28,2023-05-07,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Телмисартан']",[],['Телсартан'],['Dr. Reddys Lab./ Доктор Реддис Лаб.'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Телмисартан'],['5мг+40мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49_2023-05-07,Берлиприл таблетки 5мг №30,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Реноваскулярная гипертензия', 'Застойная сердечная недостаточность']",['Эналаприл'],[],['Берлиприл'],['Berlin-Chemie AG/ Берлин-Хеми '],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Эналаприл'],['5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50_2023-05-07,Бисопролол таблетки 10мг №50 Рафарма,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Бисопролол'],"['Арител', 'Биол', 'Конкор', 'Бипрол', 'Кординорм', 'Коронал', 'Нипертен', 'Бисогамма']",['Бисопролол'],"['АО ""Рафарма""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Бисопролол'],['10мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51_2023-05-07,"Телсартан Н таблетки 80мг+12,5мг №28",2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Вторичная гипертензия']","['Гидрохлоротиазид', 'Телмисартан']",[],['Телсартан Н'],['Dr. Reddys Lab./ Доктор Реддис Лаб.'],['Индия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Телмисартан+Гидрохлоротиазид'],['80мг+12.5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52_2023-05-07,Карведилол таблетки 12.5мг №30,2023-05-07,['Ишемическая болезнь сердца'],['Карведилол'],"['Акридилол', 'Дилатренд', 'Карведигамма']",['Карведилол'],"['ЗАО ФП ""Оболенское""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Карведилол'],['12.5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
