count_index,name_item_price,parsing_day,price_withCard,price_withPeriod,price_withoutCard
83_2022-12-28,Ордисс таблетки 32мг №30,2022-12-28,0,0,0
84_2022-12-28,Отрио таблетки 10мг №90,2022-12-28,0,0,0
85_2022-12-28,"Периндоприл Плюс индапамид таблетки 1,25мг+4мг №30",2022-12-28,0,0,0
86_2022-12-28,"Периндоприл Плюс индапамид таблетки 2,5мг+8мг №30",2022-12-28,0,0,0
87_2022-12-28,Пирацетам таблетки 400мг №60,2022-12-28,0,0,0
88_2022-12-28,Пирацетам таблетки 800мг №30,2022-12-28,104.0,77.0,104.0
89_2022-12-28,Пирацетам таблетки 800мг №30,2022-12-28,0,0,0
90_2022-12-28,Рибоксин раствор для инъекций 2% ампулы 10мл №10,2022-12-28,0,0,0
91_2022-12-28,Рибоксин раствор для инъекций 2% ампулы 5мл №10,2022-12-28,0,0,0
92_2022-12-28,Розарт таблетки 40мг №30,2022-12-28,0,0,0
93_2022-12-28,Розарт таблетки 5мг №30,2022-12-28,0,0,0
94_2022-12-28,Розувастатин таблетки 10мг №30,2022-12-28,0,0,0
95_2022-12-28,Розувастатин таблетки 10мг №30,2022-12-28,342.0,236.0,342.0
96_2022-12-28,Розувастатин таблетки 20мг №30,2022-12-28,418.0,314.0,418.0
97_2022-12-28,Ро-статин таблетки 20мг №30,2022-12-28,0,0,0
98_2022-12-28,Рэнезин таблетки 1000мг №30,2022-12-28,0,0,0
99_2022-12-28,Сапплимент Коэнзим Q10 таблетки №30,2022-12-28,0,0,0
100_2022-12-28,Симвастатин таблетки 10мг №30,2022-12-28,0,0,0
101_2022-12-28,Мукосат раствор для инъекций 100мг/мл ампулы 2мл №10,2022-12-28,1807.0,1139.0,1807.0
102_2022-12-28,Ибупрофен капсулы 200мг №20,2022-12-28,202.0,156.0,202.0
103_2022-12-28,Мелоксикам таблетки 15мг №10,2022-12-28,276.0,230.0,276.0
104_2022-12-28,"Кетопрофен-Вертекс гель 2,5% 50г",2022-12-28,246.0,205.0,246.0
105_2022-12-28,Ксефокам рапид таблетки 8мг №12,2022-12-28,578.0,352.0,578.0
106_2022-12-28,Мукосат раствор для инъекций 100мг/мл ампулы 1мл №10,2022-12-28,1112.0,695.0,1112.0
107_2022-12-28,Апизартрон мазь 20г,2022-12-28,495.0,315.0,495.0
108_2022-12-28,Фитобальзам разогревающий 30мл,2022-12-28,188.0,158.0,188.0
109_2022-12-28,Артра таблетки №120,2022-12-28,3602.0,2449.0,3602.0
110_2022-12-28,Артраксикам крем 30г,2022-12-28,459.0,284.0,459.0
111_2022-12-28,Индометацин суппозитории ректальные 50мг №10,2022-12-28,107.0,85.0,107.0
112_2022-12-28,Мелоксикам таблетки 15мг №20,2022-12-28,143.0,114.0,143.0
113_2022-12-28,Септолете Тотал таблетки №16,2022-12-28,265.0,265.0,408.0
114_2022-12-28,Колдрекс МаксГрипп порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,776.0,646.0,776.0
115_2022-12-28,Папаверина гидрохлорид р-р 2% амп. 2мл №10,2022-12-28,111.0,88.0,111.0
116_2022-12-28,Этария таблетки 90мг №7,2022-12-28,405.0,310.0,405.0
117_2022-12-28,Пластырь Монастырский разогревающий 2шт,2022-12-28,125.0,96.0,125.0
118_2022-12-28,"Дискус композитум раствор для инъекций ампулы 2,2мл №5",2022-12-28,2090.0,1559.0,2090.0
119_2022-12-28,Ацеклофенак таблетки 100мг №60,2022-12-28,624.0,517.0,624.0
120_2022-12-28,Эторелекс таблетки 30мг №28,2022-12-28,500.0,390.0,500.0
121_2022-12-28,Велдексал таблетки 25мг №10,2022-12-28,399.0,272.0,399.0
122_2022-12-28,Этария таблетки 60мг №28,2022-12-28,772.0,643.0,772.0
123_2022-12-28,Бальзам на основе эфирных масел в сезон простуд 4г,2022-12-28,142.0,118.0,142.0
124_2022-12-28,Мукосат капсулы №80,2022-12-28,1983.0,1479.0,1983.0
125_2022-12-28,Ацетилсалициловая кислота таблетки 500мг №20,2022-12-28,22.0,21.0,22.0
126_2022-12-28,Спазмалгон эффект таблетки №10,2022-12-28,232.0,135.0,232.0
127_2022-12-28,КамеСпрей спрей 50мл,2022-12-28,148.0,118.0,148.0
128_2022-12-28,Горячее питье Комплекс в сезон простуд с витамином С саше со вкусом малины №10,2022-12-28,228.0,188.0,228.0
129_2022-12-28,Кетофрил таблетки 10мг №20,2022-12-28,97.0,86.0,97.0
130_2022-12-28,Ибупрофен таблетки 200мг №50,2022-12-28,307.0,275.0,307.0
131_2022-12-28,Сафистон таблетки №10,2022-12-28,194.0,98.0,194.0
132_2022-12-28,Фито-Арома Таблетки для горла №50,2022-12-28,163.0,144.0,163.0
133_2022-12-28,Оралсепт спрей флакон 30мл,2022-12-28,463.0,285.0,463.0
134_2022-12-28,Солпадеин Фаст таблетки шипучие №12,2022-12-28,409.0,246.0,409.0
135_2022-12-28,Аленталь таблетки 100мг №20,2022-12-28,484.0,403.0,484.0
136_2022-12-28,Бальзам универсальный на основе эфирных масел 7мл,2022-12-28,166.0,118.0,166.0
137_2022-12-28,Тексаред таблетки 20мг №10,2022-12-28,551.0,332.0,551.0
138_2022-12-28,Ортофен гель 5% 50г,2022-12-28,327.0,272.0,327.0
139_2022-12-28,Аджисепт пастилки Классические №24,2022-12-28,214.0,178.0,214.0
140_2022-12-28,Септолете Тотал таблетки для рассасывания Мед+Лимон №16,2022-12-28,265.0,265.0,408.0
141_2022-12-28,Стопгрипан форте порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,572.0,344.0,572.0
142_2022-12-28,"Мелоксикам таблетки 7,5мг №20",2022-12-28,97.0,75.0,97.0
143_2022-12-28,Аторика таблетки 60мг №14,2022-12-28,426.0,292.0,426.0
144_2022-12-28,Колдрекс хотрем порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,662.0,398.0,662.0
145_2022-12-28,Граммидин детский спрей флакон 112 доз,2022-12-28,684.0,408.0,684.0
146_2022-12-28,Артраксикам крем 50г,2022-12-28,652.0,392.0,652.0
147_2022-12-28,Налгезин форте таблетки 550мг №20,2022-12-28,620.0,388.0,620.0
148_2022-12-28,"Глюкозамин порошок для приготовления раствора для приема внутрь 1,5г пакетики №20",2022-12-28,1149.0,957.0,1149.0
149_2022-12-28,Бутадион мазь 5% 20г,2022-12-28,231.0,188.0,231.0
150_2022-12-28,Цефекон Д суппозитории ректальные 50мг №10,2022-12-28,28.0,23.0,28.0
151_2022-12-28,Аторика таблетки 60мг №28,2022-12-28,696.0,496.0,696.0
152_2022-12-28,Аторика таблетки 90мг №28,2022-12-28,881.0,628.0,881.0
153_2022-12-28,Спазмастоп таблетки №10,2022-12-28,89.0,70.0,89.0
154_2022-12-28,"Цель Т раствор для инъекций ампулы 2,2мл №5",2022-12-28,1493.0,1113.0,1493.0
155_2022-12-28,Артра таблетки №60,2022-12-28,2084.0,1418.0,2084.0
156_2022-12-28,Нимесулид таблетки 100мг №20,2022-12-28,214.0,172.0,214.0
157_2022-12-28,Солгар Глюкозамин Хондроитин комплекс таблетки №60,2022-12-28,3808.0,3283.0,3808.0
158_2022-12-28,Элтуфлоп Био раствор для инъекций 2мл ампулы №5,2022-12-28,1680.0,1393.0,1680.0
159_2022-12-28,Парацетамол раствор для приема внутрь 24мг/мл Клубника флакон 100мл,2022-12-28,79.0,72.0,79.0
160_2022-12-28,Нурофен экспресс капсулы 200мг №8,2022-12-28,134.0,91.0,134.0
161_2022-12-28,Нурофен экспресс капсулы 200мг №16,2022-12-28,266.0,188.0,266.0
162_2022-12-28,Нурофен экспресс форте капсулы 400мг №10,2022-12-28,205.0,139.0,205.0
163_2022-12-28,Нурофен экспресс форте капсулы 400мг №20,2022-12-28,377.0,255.0,377.0
164_2022-12-28,Граммидин Нео с анестетиком таблетки для рассасывания №18,2022-12-28,534.0,329.0,534.0
165_2022-12-28,Терафлю порошок для приготовления раствора для приема внутрь Лимон пакетики №4,2022-12-28,433.0,249.0,433.0
166_2022-12-28,Лизобакт таблетки для рассасывания №30,2022-12-28,439.0,272.0,439.0
167_2022-12-28,Терафлю порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,699.0,417.0,699.0
168_2022-12-28,Анальгин таблетки 500мг №10,2022-12-28,19.0,13.0,19.0
169_2022-12-28,Колдакт флю плюс капсулы №10,2022-12-28,358.0,232.0,358.0
170_2022-12-28,Кеторол Экспресс таблетки диспергируемые 10мг №20,2022-12-28,76.0,43.0,76.0
171_2022-12-28,Нурофен экспресс капсулы 200мг №24,2022-12-28,401.0,271.0,401.0
172_2022-12-28,Ибуклин таблетки 400мг+325мг №10,2022-12-28,207.0,139.0,207.0
173_2022-12-28,Антигриппин таблетки шипучие Малина №10,2022-12-28,494.0,367.0,494.0
174_2022-12-28,Фарингосепт таблетки №20,2022-12-28,354.0,205.0,354.0
175_2022-12-28,Ибуклин юниор таблетки 100мг+125мг №20,2022-12-28,154.0,105.0,154.0
176_2022-12-28,Стрепсилс таблетки для рассасывания Ментол+Эвкалипт №24,2022-12-28,369.0,214.0,369.0
177_2022-12-28,Шалфей Бронхоактив таблетки №20,2022-12-28,153.0,108.0,153.0
178_2022-12-28,Терафлю порошок для приготовления раствора для приема внутрь Лимон пакетики №14,2022-12-28,908.0,619.0,908.0
179_2022-12-28,Простудокс порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,411.0,313.0,411.0
180_2022-12-28,Антигриппин взрослый таблетки шипучие №10,2022-12-28,490.0,300.0,490.0
181_2022-12-28,Ибупрофен таблетки 400мг №20,2022-12-28,232.0,197.0,232.0
182_2022-12-28,Ибупрофен гель 5% 50г,2022-12-28,91.0,87.0,91.0
183_2022-12-28,Найз таблетки 100мг №20,2022-12-28,307.0,178.0,307.0
184_2022-12-28,Граммидин Нео таблетки для рассасывания №18,2022-12-28,473.0,283.0,473.0
185_2022-12-28,Спазмалгон таблетки №20,2022-12-28,270.0,156.0,270.0
186_2022-12-28,Спазмалин таблетки №20,2022-12-28,210.0,139.0,210.0
187_2022-12-28,Граммидин детский таблетки для рассасывания №18,2022-12-28,508.0,321.0,508.0
188_2022-12-28,Цитрамон П таблетки №10,2022-12-28,73.0,48.0,73.0
189_2022-12-28,Стрепсилс таблетки для рассасывания Лимон без сахара №24,2022-12-28,307.0,199.0,307.0
190_2022-12-28,Ортофен таблетки 25мг №20,2022-12-28,29.0,28.0,29.0
191_2022-12-28,Нурофен форте таблетки 400мг №12,2022-12-28,96.0,88.0,96.0
192_2022-12-28,Диклофенак раствор 25мг/мл ампулы 3мл №5,2022-12-28,134.0,125.0,134.0
193_2022-12-28,Стрепсилс таблетки для рассасывания Детский без сахара Клубника №16,2022-12-28,297.0,203.0,297.0
194_2022-12-28,Ибупрофен капсулы 200мг №10,2022-12-28,126.0,108.0,126.0
195_2022-12-28,Ибупрофен таблетки 200мг №20,2022-12-28,105.0,99.0,105.0
196_2022-12-28,Спазмалгон таблетки №10,2022-12-28,212.0,128.0,212.0
197_2022-12-28,Диклофенак ретард таблетки 100мг №20,2022-12-28,74.0,59.0,74.0
198_2022-12-28,Диклофенак гель 5% 100г,2022-12-28,468.0,390.0,468.0
199_2022-12-28,Стрепсилс таблетки для рассасывания Витамин С и Апельсин №24,2022-12-28,413.0,344.0,413.0
200_2022-12-28,Стрепсилс таблетки для рассасывания Интенсив Мед+Лимон №24,2022-12-28,510.0,303.0,510.0
201_2022-12-28,Эринит таблетки 0.01г №50,2022-12-28,102.0,70.0,102.0
202_2022-12-28,Карведилол таблетки 25мг №30,2022-12-28,335.0,335.0,335.0
203_2022-12-28,Торасемид таблетки 5мг №60,2022-12-28,293.0,234.0,293.0
204_2022-12-28,Валокордин капли для приема внутрь флакон 20мл,2022-12-28,249.0,162.0,249.0
205_2022-12-28,"Энап HL таблетки 10мг+12,5мг №20",2022-12-28,336.0,195.0,336.0
206_2022-12-28,Детравенол таблетки 1000мг №30,2022-12-28,1582.0,1076.0,1582.0
207_2022-12-28,Рибоксин таблетки 200мг №50,2022-12-28,98.0,78.0,98.0
208_2022-12-28,Боярышник настойка флакон 25мл,2022-12-28,85.0,68.0,85.0
209_2022-12-28,Периндоприл таблетки 4мг №30 Пранафарм,2022-12-28,159.0,118.0,159.0
210_2022-12-28,Винпоцетин таблетки 5мг №50 Велфарм,2022-12-28,111.0,105.0,111.0
211_2022-12-28,Кардио Плюс капсулы №30,2022-12-28,848.0,698.0,848.0
212_2022-12-28,МетуцинВел раствор для инъекций 50мг/мл ампулы 2мл №10,2022-12-28,359.0,311.0,359.0
213_2022-12-28,Лозартан таблетки 25мг №30,2022-12-28,108.0,98.0,108.0
214_2022-12-28,Амлодипин таблетки 5мг №30,2022-12-28,70.0,62.0,70.0
215_2022-12-28,Леспефлан флакон 100мл,2022-12-28,278.0,223.0,278.0
216_2022-12-28,Розувастатин-Вертекс таблетки 5мг №30,2022-12-28,400.0,325.0,400.0
217_2022-12-28,Симвастатин таблетки 10мг №30,2022-12-28,133.0,126.0,133.0
218_2022-12-28,Анаприлин таблетки 40мг №50,2022-12-28,57.0,53.0,57.0
219_2022-12-28,Аторвастатин таблетки 10мг №90,2022-12-28,574.0,574.0,574.0
220_2022-12-28,Розувастатин таблетки 10мг №30,2022-12-28,677.0,564.0,677.0
221_2022-12-28,Энап H таблетки 10мг+25мг N60,2022-12-28,864.0,540.0,864.0
222_2022-12-28,Валсартан таблетки 160мг №30,2022-12-28,510.0,425.0,510.0
223_2022-12-28,Танакан таблетки 40мг №90,2022-12-28,1290.0,1290.0,1985.0
224_2022-12-28,Вальсакор Н таблетки 160мг+12.5мг №90,2022-12-28,1269.0,809.0,1269.0
225_2022-12-28,Ивабрадин таблетки 5мг №56,2022-12-28,633.0,502.0,633.0
226_2022-12-28,"Лозартан таблетки 12,5мг №30",2022-12-28,49.0,46.0,49.0
227_2022-12-28,"Вальсакор Н таблетки 80мг+12,5мг №90",2022-12-28,1056.0,660.0,1056.0
228_2022-12-28,Анаприлин таблетки 10мг №100,2022-12-28,41.0,39.0,41.0
229_2022-12-28,Периндоприл таблетки 8мг №30 Пранафарм,2022-12-28,196.0,168.0,196.0
230_2022-12-28,Атенолол таблетки 50мг №30,2022-12-28,27.0,24.0,27.0
231_2022-12-28,Лизиноприл таблетки 10мг №30,2022-12-28,139.0,120.0,139.0
232_2022-12-28,"Моксарел таблетки 0,4мг №30",2022-12-28,425.0,425.0,425.0
233_2022-12-28,Ангиовит таблетки №60,2022-12-28,322.0,216.0,322.0
234_2022-12-28,Валсартан таблетки 80мг №30,2022-12-28,356.0,296.0,356.0
235_2022-12-28,Гидрохлортиазид таблетки 25мг №20,2022-12-28,55.0,48.0,55.0
236_2022-12-28,Тримектал ОД таблетки 80мг №30,2022-12-28,655.0,543.0,655.0
237_2022-12-28,Калия оротат таблетки 0.5г №20,2022-12-28,188.0,150.0,188.0
238_2022-12-28,Папазол таблетки №20,2022-12-28,81.0,63.0,81.0
239_2022-12-28,Лерканорм таблетки 20мг №30,2022-12-28,777.0,647.0,777.0
240_2022-12-28,Эдарби таблетки 40мг №28,2022-12-28,991.0,775.0,991.0
241_2022-12-28,Лизиноприл таблетки 10мг №20,2022-12-28,95.0,76.0,95.0
242_2022-12-28,Лизиноприл таблетки 20мг №30,2022-12-28,221.0,201.0,221.0
243_2022-12-28,Бисопролол таблетки 10мг №50,2022-12-28,242.0,202.0,242.0
244_2022-12-28,Симвастатин таблетки 20мг №30,2022-12-28,266.0,252.0,266.0
245_2022-12-28,"Тенорокс таблетки 50мг+12,5мг №28",2022-12-28,150.0,112.0,150.0
246_2022-12-28,Эскузан капли для приема внутрь флакон 20мл,2022-12-28,522.0,314.0,522.0
247_2022-12-28,Эдарби Кло таблетки 40мг+25мг №28,2022-12-28,1295.0,1037.0,1295.0
248_2022-12-28,Кардикет ретард таблетки 20мг №50,2022-12-28,160.0,108.0,160.0
249_2022-12-28,Лозартан таблетки 100мг №90,2022-12-28,535.0,446.0,535.0
250_2022-12-28,Гинкго билоба капсулы 80мг №30,2022-12-28,599.0,499.0,599.0
251_2022-12-28,Метопролол таблетки 100мг №30,2022-12-28,343.0,309.0,343.0
252_2022-12-28,МетуцинВел раствор для инъекций 50мг/мл ампулы 5мл №5,2022-12-28,403.0,336.0,403.0
253_2022-12-28,"Лозап плюс таблетки 50мг+12,5мг №90",2022-12-28,1169.0,777.0,1169.0
254_2022-12-28,Роксера таблетки 10мг №90,2022-12-28,1882.0,1144.0,1882.0
255_2022-12-28,Небиволол таблетки 5мг №14,2022-12-28,467.0,389.0,467.0
256_2022-12-28,Эналаприл таблетки 20мг №50,2022-12-28,209.0,165.0,209.0
257_2022-12-28,Розувастатин-Вертекс таблетки 20мг №30,2022-12-28,728.0,606.0,728.0
258_2022-12-28,"Рамазид Н таблетки 5мг+12,5мг №30",2022-12-28,517.0,345.0,517.0
259_2022-12-28,Тенорокс таблетки 100мг+25мг №28,2022-12-28,216.0,156.0,216.0
260_2022-12-28,Мельдоний капсулы 250мг №40 Южфарм,2022-12-28,348.0,290.0,348.0
261_2022-12-28,Церепро капсулы 400мг №56,2022-12-28,2209.0,1611.0,2209.0
262_2022-12-28,Мельдоний капсулы 500мг №60 Озон,2022-12-28,802.0,623.0,802.0
263_2022-12-28,Эналаприл таблетки 20мг №20,2022-12-28,149.0,130.0,149.0
264_2022-12-28,Бисопролол таблетки 10мг №30,2022-12-28,168.0,160.0,168.0
265_2022-12-28,Фозиноприл таблетки 20мг №30,2022-12-28,579.0,473.0,579.0
266_2022-12-28,Фуросемид раствор для инъекций 10мг/мл ампулы 2мл №10,2022-12-28,60.0,52.0,60.0
267_2022-12-28,"Юперио таблетки 100мг (51,4мг+48,6мг) №28",2022-12-28,2637.0,2100.0,2637.0
268_2022-12-28,Троксерутин капсулы 300мг №50,2022-12-28,486.0,405.0,486.0
269_2022-12-28,Тримектал МВ таблетки 35мг №60,2022-12-28,719.0,599.0,719.0
270_2022-12-28,Амлодипин таблетки 5мг №30,2022-12-28,136.0,129.0,136.0
271_2022-12-28,Атенолол таблетки 100мг №30,2022-12-28,31.0,29.0,31.0
272_2022-12-28,Фозиноприл таблетки 10мг №30,2022-12-28,423.0,346.0,423.0
273_2022-12-28,Лизиноприл таблетки 20мг №30,2022-12-28,174.0,141.0,174.0
274_2022-12-28,Метопролол таблетки 50мг №30,2022-12-28,251.0,236.0,251.0
275_2022-12-28,Амлодипин-Периндоприл таблетки 5мг+5мг №30,2022-12-28,463.0,382.0,463.0
276_2022-12-28,Ко-Перинева таблетки 1.25мг+4мг №30,2022-12-28,696.0,435.0,696.0
277_2022-12-28,Рамазид Н таблетки 5мг+25мг №30,2022-12-28,554.0,333.0,554.0
278_2022-12-28,Калчек таблетки 5мг №30,2022-12-28,182.0,139.0,182.0
279_2022-12-28,Метопролол таблетки 50мг №60,2022-12-28,94.0,87.0,94.0
280_2022-12-28,"Ивабрадин таблетки 7,5мг №56",2022-12-28,770.0,564.0,770.0
281_2022-12-28,Кардиоактив Таурин таблетки №60,2022-12-28,546.0,376.0,546.0
282_2022-12-28,Ацетазоламид таблетки 250мг №30,2022-12-28,237.0,178.0,237.0
283_2022-12-28,Аторвастатин таблетки 20мг №90,2022-12-28,992.0,842.0,992.0
284_2022-12-28,Дилтиазем таблетки 60мг №30,2022-12-28,183.0,121.0,183.0
285_2022-12-28,Коринфар таблетки 10мг №50,2022-12-28,70.0,55.0,70.0
286_2022-12-28,Нитросорбид таблетки 10мг №60,2022-12-28,32.0,24.0,32.0
287_2022-12-28,Перинева таблетки 4мг №90,2022-12-28,638.0,412.0,638.0
288_2022-12-28,Флебодиа 600 таблетки 600мг №60,2022-12-28,2659.0,1808.0,2659.0
289_2022-12-28,"Юперио таблетки 50мг (25,7мг+24,3мг) №28",2022-12-28,2584.0,2100.0,2584.0
290_2022-12-28,"Индапамид+Периндоприл таблетки 1,25мг+5мг №30",2022-12-28,587.0,489.0,587.0
291_2022-12-28,"Моксонидин таблетки 0,4мг №60",2022-12-28,659.0,541.0,659.0
292_2022-12-28,"Юперио таблетки 200мг (102,8мг+97,2мг) №28",2022-12-28,2628.0,2100.0,2628.0
