count_index,name_item_prop,parsing_day,Нозология,Действующее вещество,Группа товара,Бренд,Производитель,Страна,Форма выпуска,Рецепт,Условия хранения,"Действующее вещество, сборное название","Состав, вес (кратко)",Фармакотерапевтическая группа,nosology_1,nosology_2,nosology_3,nosology_4,nosology_5,active_ingredient_1,active_ingredient_2,active_ingredient_3,active_ingredient_4,active_ingredient_5,active_ingredient_6,active_ingredient_7,active_ingredient_8,active_ingredient_9,active_ingredient_10,active_ingredient_11,active_ingredient_12,product_group_1,product_group_2,product_group_3,product_group_4,product_group_5,product_group_6,product_group_7,product_group_8,product_group_9,product_group_10,product_group_11,product_group_12,product_group_13
11_2022-12-28,Винпоцетин раствор для инъекций 5мг/мл ампулы 2мл №10,2022-12-28,"['Сосудистая деменция', 'Головокружение и нарушение устойчивости', 'Инфаркт мозга', 'Расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга', 'Соматоформная дисфункция вегетативной нервной системы']",['Винпоцетин'],['Для памяти'],['Винпоцетин ампулы'],"['ОАО ЗМП ""Борисовский""']",['Россия'],['Раствор для инъекций'],['Рецептурный'],['Не выше 25 С'],['Винпоцетин'],['5мг/мл'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_2022-12-28,Винпоцетин таблетки 10мг №30,2022-12-28,"['Сосудистая деменция', 'Головокружение и нарушение устойчивости', 'Инфаркт мозга']",['Винпоцетин'],"['Таблетки для  памяти', 'Для памяти']",['Винпоцетин таблетки'],"['ЗАО ФП ""Оболенское""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Винпоцетин'],['10мг'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_2022-12-28,Винпоцетин таблетки 5мг №50,2022-12-28,"['Сосудистая деменция', 'Головокружение и нарушение устойчивости', 'Инфаркт мозга']",['Винпоцетин'],"['Таблетки для  памяти', 'Для памяти']",['Винпоцетин таблетки'],"['ООО ""Изварино Фарма""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Винпоцетин'],['5мг'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_2022-12-28,Винпоцетин таблетки 5мг №50,2022-12-28,"['Сосудистая деменция', 'Головокружение и нарушение устойчивости', 'Инфаркт мозга']",['Винпоцетин'],"['Таблетки для  памяти', 'Для памяти']",['Винпоцетин таблетки'],"['ОАО ""Синтез""']",['Россия'],['Таблетки'],['Рецептурный'],['Обычный'],['Винпоцетин'],['5мг'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_2022-12-28,Гепариновая мазь 25г,2022-12-28,"['Флебит и тромбофлебит', 'Флебит и тромбофлебит поверхностных сосудов нижних конечностей', 'Варикозное расширение вен нижних конечностей с язвой и воспалением', 'Лимфоотек, не классифицированный в других рубриках', 'Лимфангит']","['Бензилникотинат', 'Бензокаин', 'Гепарин натрия']",[],['Гепариновая мазь'],"['ЗАО ""Алтайвитамины""']",['Россия'],['Мазь для наружного применения'],['Без рецепта'],['8-15 С'],['Гепарин натрия+Бензокаин+Бензилникотинат'],['0.0833г+4г+0.08г'],['Венотонизирующие наружные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_2022-12-28,Гепариновая мазь 25г,2022-12-28,"['Флебит и тромбофлебит', 'Флебит и тромбофлебит поверхностных сосудов нижних конечностей', 'Варикозное расширение вен нижних конечностей с язвой и воспалением', 'Лимфоотек, не классифицированный в других рубриках', 'Лимфангит']","['Бензилникотинат', 'Бензокаин', 'Гепарин натрия']",[],['Гепариновая мазь'],"['ООО ""Тульская ФФ""']",['Россия'],['Мазь для наружного применения'],['Без рецепта'],['8-15 С'],['Гепарин натрия+Бензокаин+Бензилникотинат'],['100МЕ+40мг+0.8мг'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_2022-12-28,Гидрохлортиазид таблетки 25мг №20,2022-12-28,"['Мочекаменная болезнь', 'Глаукома']",['Гидрохлоротиазид'],[],['Гидрохлортиазид'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Гидрохлоротиазид'],['25мг'],['Мочегонные средства (Диуретики)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_2022-12-28,Гинкго билоба таблетки №40,2022-12-28,"['Неврастения', 'Инфаркт мозга']","['Гинкго Билоба', 'Глицин']","['Таблетки для  памяти', 'Для памяти']",['Эвалар'],"['ЗАО ""Эвалар""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Глицин+Гинкго Билоба'],['40мг+20мг'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2022-12-28,Гинкоум капсулы 40мг №30,2022-12-28,['Головокружение и нарушение устойчивости'],['Гинкго Билоба'],"['Таблетки для  памяти', 'Для памяти']",['Эвалар'],"['ЗАО ""Эвалар""']",['Россия'],['Капсулы для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Гинкго Билоба'],['40мг'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_2022-12-28,Глицин таблетки 100мг №150,2022-12-28,"['Неврастения', 'Инфаркт мозга', 'Расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга', 'Психические и поведенческие расстройства, вызванные употреблением опиоидов', 'Психические и поведенческие расстройства, вызванные употреблением каннабиоидов']",['Глицин'],[],['Глицин'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Глицин'],['100мг'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_2022-12-28,Гопантеновая кислота таблетки 250мг №50,2022-12-28,"['Эпилепсия', 'Шизофрения', 'Болезнь Паркинсона', 'Сосудистая деменция', 'Внутричерепная травма']",['Гопантеновая кислота'],['Для памяти'],['Гопантеновая кислота'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Обычный'],['Гопантеновая кислота'],['250мг'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_2022-12-28,Гопантеновая кислота таблетки 500мг №50,2022-12-28,"['Эпилепсия', 'Шизофрения', 'Болезнь Паркинсона', 'Сосудистая деменция', 'Внутричерепная травма']",['Гопантеновая кислота'],[],['Гопантеновая кислота'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Гопантеновая кислота'],['500мг'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2022-12-28,Детравенол таблетки 1000мг №60,2022-12-28,"['Варикозное расширение вен нижних конечностей с язвой и воспалением', 'Венозная недостаточность (хроническая) (периферическая)', 'Отек, не классифицированный в других рубриках', 'Геморрой и перианальный венозный тромбоз']","['Гесперидин', 'Диосмин']",['выгодно один'],['Детравенол'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Гесперидин+Диосмин'],['100мг+900мг'],['Венотонизирующие внутренние средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_2022-12-28,Детравенол таблетки 500мг №60,2022-12-28,"['Геморрой', 'Варикозное расширение вен нижних конечностей с язвой и воспалением', 'Венозная недостаточность (хроническая) (периферическая)', 'Отек, не классифицированный в других рубриках', 'Геморрой и перианальный венозный тромбоз']","['Гесперидин', 'Диосмин']",[],['Детравенол'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Гесперидин+Диосмин'],['50мг+450мг'],['Венотонизирующие внутренние средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_2022-12-28,Дигидрокверцетин Витамир таблетки №50,2022-12-28,[],"['Дигидрокверцетин', 'Инулин']",[],['Дигидрокверцетин'],"['ООО ""Квадрат С""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Дигидрокверцетин+Инулин'],['25мг+2500мг'],['Прочие средства в кардиологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26_2022-12-28,Дигидрокверцетин Форте таблетки №50,2022-12-28,[],"['Дигидрокверцетин', 'Инулин']","['для сердца', 'для сосудов']",['Дигидрокверцетин'],"['ООО ""Квадрат С""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Дигидрокверцетин+Инулин'],['25мг+453мг'],['Прочие средства в кардиологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_2022-12-28,Докси-Хем капсулы 500мг №90,2022-12-28,"['Диабетическая ретинопатия (E10-E14+ с общим четвертым знаком .3)', 'Флебит и тромбофлебит поверхностных сосудов нижних конечностей', 'Варикозное расширение вен нижних конечностей', 'Варикозное расширение вен нижних конечностей с язвой и воспалением', 'Хроническая язва кожи, не классифицированная в других рубриках']",['Кальция добезилат'],[],['Докси-Хем'],['Hemofarm A.D./ Хемофарм'],['Югославия'],['Капсулы для приема внутрь'],['Рецептурный'],['15-25 С'],['Кальция добезилат'],['500мг'],['Венотонизирующие внутренние средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_2022-12-28,Дузофарм таблетки 50мг №30,2022-12-28,"['Инфаркт мозга', 'Преходящие транзиторные церебральные ишемические приступы [атаки] и родственные синдромы', 'Диабетическая ретинопатия (E10-E14+ с общим четвертым знаком .3)', 'Церебральный атеросклероз', 'Последствия цереброваскулярных болезней']",['Нафтидрофурил'],"['Таблетки для  памяти', 'Для памяти']",['Дузофарм'],['Unipharm Inc./ Юнифарм Инк.'],['Болгария'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Нафтидрофурил'],['50мг'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_2022-12-28,Дузофарм таблетки 50мг №90,2022-12-28,"['Атеросклероз', 'Инфаркт мозга', 'Преходящие транзиторные церебральные ишемические приступы [атаки] и родственные синдромы', 'Диабетическая ретинопатия (E10-E14+ с общим четвертым знаком .3)', 'Церебральный атеросклероз']",['Нафтидрофурил'],"['Таблетки для  памяти', 'Для памяти']",['Дузофарм'],['Unipharm Inc./ Юнифарм Инк.'],['Болгария'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Нафтидрофурил'],['50мг'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_2022-12-28,Индапамид таблетки 2.5мг №30,2022-12-28,[],['Индапамид'],[],['Индапамид'],"['АО ""Биохимик""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Индапамид'],['2.5мг'],['Мочегонные средства (Диуретики)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_2022-12-28,Индапамид таблетки 2.5мг №50,2022-12-28,[],['Индапамид'],[],['Индапамид'],"['ООО ""Велфарм""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Индапамид'],['2.5мг'],['Мочегонные средства (Диуретики)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_2022-12-28,"Индапамид-Тева таблетки 2,5мг №30",2022-12-28,[],['Индапамид'],[],['Индапамид'],"['PLIVA HRVATSKA, d.o.o. / Плива Хрватска д.о.о.']",['Болгария'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Индапамид'],['2.5мг'],['Мочегонные средства (Диуретики)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_2022-12-28,Иплерон таблетки 25мг №30,2022-12-28,"['Острый инфаркт миокарда', 'Застойная сердечная недостаточность']",['Эплеренон'],[],['Иплерон'],['Synthon Hispania/Синтон Испания'],['Испания'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Эплеренон'],['25мг'],['Мочегонные средства (Диуретики)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_2022-12-28,Кавинтон комфорте таблетки диспергируемые 10мг №90,2022-12-28,"['Сосудистая деменция', 'Головокружение и нарушение устойчивости', 'Инфаркт мозга', 'Преходящие транзиторные церебральные ишемические приступы [атаки] и родственные синдромы', 'Синдром вертебробазилярной артериальной системы']",['Винпоцетин'],"['Таблетки для  памяти', 'Для памяти']",['Кавинтон'],['Gedeon Richter/ Гедеон Рихтер'],['Венгрия'],['Таблетки диспергируемые'],['Рецептурный'],['Не выше 25 С'],['Винпоцетин'],['10мг'],['Средства улучшающие мозговое кровообращение'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35_2022-12-28,Каптоприл таблетки 50мг №20,2022-12-28,['Ишемическая болезнь сердца'],['Каптоприл'],[],['Каптоприл'],"['ООО ""Пранафарм""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Каптоприл'],['50мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36_2022-12-28,Карведилол таблетки 12.5мг №30,2022-12-28,['Ишемическая болезнь сердца'],['Карведилол'],[],['Карведилол'],"['ЗАО ФП ""Оболенское""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Карведилол'],['12.5мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37_2022-12-28,Кардиолип таблетки 5мг №30,2022-12-28,"['Чистая гиперхолестеринемия', 'Смешанная гиперлипидемия']",['Розувастатин'],[],['Кардиолип'],"['ЗАО ""Алси Фарма""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Розувастатин'],['5мг'],['Гиполипидемические средства (Статины)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38_2022-12-28,Ко-диован таблетки 160мг+12.5мг №28,2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Валсартан', 'Гидрохлоротиазид']",[],['Ко-Диован'],['Novartis Pharma AG/ Новартис Фарма'],['Швеция'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Валсартан+Гидрохлоротиазид'],['160мг+12.5мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39_2022-12-28,"Ко-диован таблетки 80мг+12,5мг №28",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Валсартан', 'Гидрохлоротиазид']",[],['Ко-Диован'],['Novartis Pharma AG/ Новартис Фарма'],['Швеция'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Валсартан+Гидрохлоротиазид'],['80мг+12.5мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40_2022-12-28,"Ко-Периндоприл таблетки 0,625мг+2мг №30",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Индапамид', 'Периндоприл']",[],['Ко-периндоприл'],"['ООО ""Пранафарм""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Индапамид+Периндоприл'],['0.625мг+2мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41_2022-12-28,Ко-Периндоприл таблетки 1.25мг+4мг №90,2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Индапамид', 'Периндоприл']",[],['Ко-периндоприл'],"['ООО ""Пранафарм""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Индапамид+Периндоприл'],['1.25мг+4мг'],['Средства повышающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_2022-12-28,Корвалол капли для приема внутрь фл. 25мл,2022-12-28,"['Неврастения', 'Раздражительность и озлобление', 'Ипохондрическое расстройство', 'Соматоформная дисфункция вегетативной нервной системы', 'Невротическое расстройство неуточненное']","['Мяты перечной масло', 'Фенобарбитал', 'Этилбромизовалерианат']",[],['Корвалол капли'],"['ЗАО ""Московская ФФ""']",['Россия'],['Капли для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Фенобарбитал+Этилбромизовалерианат+Мяты перечной масло'],['1.96г+2.15г+0.15г'],['Прочие средства в кардиологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43_2022-12-28,Корвалол капли для приема внутрь фл. 25мл,2022-12-28,"['Неврастения', 'Раздражительность и озлобление', 'Ипохондрическое расстройство', 'Соматоформная дисфункция вегетативной нервной системы', 'Другие уточненные невротические расстройства']","['Мяты перечной масло', 'Фенобарбитал', 'Этилбромизовалерианат']",[],['Корвалол капли'],"['ЗАО ""ПФК Обновление""']",['Россия'],['Капли для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Фенобарбитал+Этилбромизовалерианат+Мяты перечной масло'],['18.26г+20г+1.42г'],['Прочие средства в кардиологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44_2022-12-28,Корвалол капли для приема внутрь фл. 25мл Марбиофарм,2022-12-28,"['Неврастения', 'Раздражительность и озлобление', 'Ипохондрическое расстройство', 'Соматоформная дисфункция вегетативной нервной системы', 'Другие уточненные невротические расстройства']","['Мяты перечной масло', 'Фенобарбитал', 'Этилбромизовалерианат']",[],['Корвалол капли'],"['ОАО ""Марбиофарм""']",['Россия'],['Капли для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Фенобарбитал+Этилбромизовалерианат+Мяты перечной масло'],['20г+18.26г+1.42г'],['Прочие средства в кардиологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45_2022-12-28,Корвалол форте таблетки №30,2022-12-28,"['Неврастения', 'Раздражительность и озлобление', 'Ипохондрическое расстройство', 'Соматоформная дисфункция вегетативной нервной системы', 'Невротическое расстройство неуточненное']","['Мяты перечной масло', 'Фенобарбитал', 'Этилбромизовалерианат']",[],['Корвалол таблетки'],"['ОАО ""Фармак""']",['Украина'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Фенобарбитал+Этилбромизовалерианат+Мяты перечной масло'],['11.34мг+12.42мг+0.88мг'],['Прочие средства в кардиологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46_2022-12-28,Кордипин XL таблетки 40мг №20,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Стенокардия с документально подтвержденным спазмом', 'Синдром Рейно']",['Нифедипин'],[],['Кордипин'],['KRKA d.d./ КРКА'],['Словения'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Нифедипин'],['40мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47_2022-12-28,Коринфар ретард таблетки 20мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Стенокардия с документально подтвержденным спазмом', 'Другие формы стенокардии']",['Нифедипин'],[],['Коринфар'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Нифедипин'],['20мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48_2022-12-28,Крестор таблетки 40мг №28,2022-12-28,"['Атеросклероз', 'Чистая гиперхолестеринемия', 'Чистая гиперглицеридемия', 'Смешанная гиперлипидемия']",['Розувастатин'],[],['Крестор'],['Astrazeneca GMbH/ Астразенека'],['Великобритания'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Розувастатин'],['40мг'],['Гиполипидемические средства (Статины)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49_2022-12-28,Левокарнил таблетки 500мг №30,2022-12-28,"['Ожирение', 'Недомогание и утомляемость']","['Левокарнитин', 'Пантотеновая кислота (В5)']","['Лекарства для похудения', 'Коррекция фигуры']",['Эвалар'],"['ЗАО ""Эвалар""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Левокарнитин+Пантотеновая кислота (В5)'],['500мг+6мг'],['Моновитамины'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50_2022-12-28,Лизиноприл таблетки 10мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность', 'Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)']",['Лизиноприл'],[],['Лизиноприл'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Израиль'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['10мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51_2022-12-28,Лизиноприл таблетки 10мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность', 'Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)']",['Лизиноприл'],[],['Лизиноприл'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['10мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52_2022-12-28,Лизиноприл таблетки 5мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность', 'Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)']",['Лизиноприл'],[],['Лизиноприл'],"['ЗАО ""Алси Фарма""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['5мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53_2022-12-28,Лизиноприл таблетки 5мг №30,2022-12-28,[],['Лизиноприл'],[],['Лизиноприл'],"['ОАО ЗМП ""Борисовский""']",['Беларусь'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['5мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_2022-12-28,Лизиноприл таблетки 5мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность', 'Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)']",['Лизиноприл'],[],['Лизиноприл'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Израиль'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['5мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
