name_item_price,parsing_day,price_withCard,price_withPeriod,price_withoutCard
Ацетилсалициловая кислота таблетки 500мг №20,2022-12-28,22.0,21.0,22.0
Спазмалгон эффект таблетки №10,2022-12-28,232.0,135.0,232.0
КамеСпрей спрей 50мл,2022-12-28,148.0,118.0,148.0
Горячее питье Комплекс в сезон простуд с витамином С саше со вкусом малины №10,2022-12-28,228.0,188.0,228.0
Кетофрил таблетки 10мг №20,2022-12-28,97.0,86.0,97.0
Ибупрофен таблетки 200мг №50,2022-12-28,307.0,275.0,307.0
Сафистон таблетки №10,2022-12-28,194.0,98.0,194.0
Фито-Арома Таблетки для горла №50,2022-12-28,163.0,144.0,163.0
Оралсепт спрей флакон 30мл,2022-12-28,463.0,285.0,463.0
Солпадеин Фаст таблетки шипучие №12,2022-12-28,409.0,246.0,409.0
Аленталь таблетки 100мг №20,2022-12-28,484.0,403.0,484.0
Бальзам универсальный на основе эфирных масел 7мл,2022-12-28,166.0,118.0,166.0
Тексаред таблетки 20мг №10,2022-12-28,551.0,332.0,551.0
Ортофен гель 5% 50г,2022-12-28,327.0,272.0,327.0
Аджисепт пастилки Классические №24,2022-12-28,214.0,178.0,214.0
Септолете Тотал таблетки для рассасывания Мед+Лимон №16,2022-12-28,265.0,265.0,408.0
Стопгрипан форте порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,572.0,344.0,572.0
"Мелоксикам таблетки 7,5мг №20",2022-12-28,97.0,75.0,97.0
Аторика таблетки 60мг №14,2022-12-28,426.0,292.0,426.0
Колдрекс хотрем порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,662.0,398.0,662.0
Граммидин детский спрей флакон 112 доз,2022-12-28,684.0,408.0,684.0
Артраксикам крем 50г,2022-12-28,652.0,392.0,652.0
Налгезин форте таблетки 550мг №20,2022-12-28,620.0,388.0,620.0
"Глюкозамин порошок для приготовления раствора для приема внутрь 1,5г пакетики №20",2022-12-28,1149.0,957.0,1149.0
Бутадион мазь 5% 20г,2022-12-28,231.0,188.0,231.0
Цефекон Д суппозитории ректальные 50мг №10,2022-12-28,28.0,23.0,28.0
Аторика таблетки 60мг №28,2022-12-28,696.0,496.0,696.0
Аторика таблетки 90мг №28,2022-12-28,881.0,628.0,881.0
Спазмастоп таблетки №10,2022-12-28,89.0,70.0,89.0
"Цель Т раствор для инъекций ампулы 2,2мл №5",2022-12-28,1493.0,1113.0,1493.0
Артра таблетки №60,2022-12-28,2084.0,1418.0,2084.0
Нимесулид таблетки 100мг №20,2022-12-28,214.0,172.0,214.0
Солгар Глюкозамин Хондроитин комплекс таблетки №60,2022-12-28,3808.0,3283.0,3808.0
Элтуфлоп Био раствор для инъекций 2мл ампулы №5,2022-12-28,1680.0,1393.0,1680.0
Парацетамол раствор для приема внутрь 24мг/мл Клубника флакон 100мл,2022-12-28,79.0,72.0,79.0
Нурофен экспресс капсулы 200мг №8,2022-12-28,134.0,91.0,134.0
Нурофен экспресс капсулы 200мг №16,2022-12-28,266.0,188.0,266.0
Нурофен экспресс форте капсулы 400мг №10,2022-12-28,205.0,139.0,205.0
Нурофен экспресс форте капсулы 400мг №20,2022-12-28,377.0,255.0,377.0
Граммидин Нео с анестетиком таблетки для рассасывания №18,2022-12-28,534.0,329.0,534.0
Терафлю порошок для приготовления раствора для приема внутрь Лимон пакетики №4,2022-12-28,433.0,249.0,433.0
Лизобакт таблетки для рассасывания №30,2022-12-28,439.0,272.0,439.0
Терафлю порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,699.0,417.0,699.0
Анальгин таблетки 500мг №10,2022-12-28,19.0,13.0,19.0
Колдакт флю плюс капсулы №10,2022-12-28,358.0,232.0,358.0
Кеторол Экспресс таблетки диспергируемые 10мг №20,2022-12-28,76.0,43.0,76.0
Нурофен экспресс капсулы 200мг №24,2022-12-28,401.0,271.0,401.0
Ибуклин таблетки 400мг+325мг №10,2022-12-28,207.0,139.0,207.0
Антигриппин таблетки шипучие Малина №10,2022-12-28,494.0,367.0,494.0
Фарингосепт таблетки №20,2022-12-28,354.0,205.0,354.0
Ибуклин юниор таблетки 100мг+125мг №20,2022-12-28,154.0,105.0,154.0
Стрепсилс таблетки для рассасывания Ментол+Эвкалипт №24,2022-12-28,369.0,214.0,369.0
Шалфей Бронхоактив таблетки №20,2022-12-28,153.0,108.0,153.0
Терафлю порошок для приготовления раствора для приема внутрь Лимон пакетики №14,2022-12-28,908.0,619.0,908.0
Простудокс порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,411.0,313.0,411.0
Антигриппин взрослый таблетки шипучие №10,2022-12-28,490.0,300.0,490.0
Ибупрофен таблетки 400мг №20,2022-12-28,232.0,197.0,232.0
Ибупрофен гель 5% 50г,2022-12-28,91.0,87.0,91.0
Найз таблетки 100мг №20,2022-12-28,307.0,178.0,307.0
Граммидин Нео таблетки для рассасывания №18,2022-12-28,473.0,283.0,473.0
Спазмалгон таблетки №20,2022-12-28,270.0,156.0,270.0
Спазмалин таблетки №20,2022-12-28,210.0,139.0,210.0
Граммидин детский таблетки для рассасывания №18,2022-12-28,508.0,321.0,508.0
Цитрамон П таблетки №10,2022-12-28,73.0,48.0,73.0
Стрепсилс таблетки для рассасывания Лимон без сахара №24,2022-12-28,307.0,199.0,307.0
Ортофен таблетки 25мг №20,2022-12-28,29.0,28.0,29.0
Нурофен форте таблетки 400мг №12,2022-12-28,96.0,88.0,96.0
Диклофенак раствор 25мг/мл ампулы 3мл №5,2022-12-28,134.0,125.0,134.0
Стрепсилс таблетки для рассасывания Детский без сахара Клубника №16,2022-12-28,297.0,203.0,297.0
Ибупрофен капсулы 200мг №10,2022-12-28,126.0,108.0,126.0
Ибупрофен таблетки 200мг №20,2022-12-28,105.0,99.0,105.0
Спазмалгон таблетки №10,2022-12-28,212.0,128.0,212.0
Диклофенак ретард таблетки 100мг №20,2022-12-28,74.0,59.0,74.0
Диклофенак гель 5% 100г,2022-12-28,468.0,390.0,468.0
Стрепсилс таблетки для рассасывания Витамин С и Апельсин №24,2022-12-28,413.0,344.0,413.0
Стрепсилс таблетки для рассасывания Интенсив Мед+Лимон №24,2022-12-28,510.0,303.0,510.0
Эринит таблетки 0.01г №50,2022-12-28,102.0,70.0,102.0
Карведилол таблетки 25мг №30,2022-12-28,335.0,335.0,335.0
Торасемид таблетки 5мг №60,2022-12-28,293.0,234.0,293.0
Валокордин капли для приема внутрь флакон 20мл,2022-12-28,249.0,162.0,249.0
"Энап HL таблетки 10мг+12,5мг №20",2022-12-28,336.0,195.0,336.0
Детравенол таблетки 1000мг №30,2022-12-28,1582.0,1076.0,1582.0
Рибоксин таблетки 200мг №50,2022-12-28,98.0,78.0,98.0
Боярышник настойка флакон 25мл,2022-12-28,85.0,68.0,85.0
Периндоприл таблетки 4мг №30 Пранафарм,2022-12-28,159.0,118.0,159.0
Винпоцетин таблетки 5мг №50 Велфарм,2022-12-28,111.0,105.0,111.0
Кардио Плюс капсулы №30,2022-12-28,848.0,698.0,848.0
МетуцинВел раствор для инъекций 50мг/мл ампулы 2мл №10,2022-12-28,359.0,311.0,359.0
Лозартан таблетки 25мг №30,2022-12-28,108.0,98.0,108.0
Амлодипин таблетки 5мг №30,2022-12-28,70.0,62.0,70.0
Леспефлан флакон 100мл,2022-12-28,278.0,223.0,278.0
Розувастатин-Вертекс таблетки 5мг №30,2022-12-28,400.0,325.0,400.0
Симвастатин таблетки 10мг №30,2022-12-28,133.0,126.0,133.0
Анаприлин таблетки 40мг №50,2022-12-28,57.0,53.0,57.0
Аторвастатин таблетки 10мг №90,2022-12-28,574.0,574.0,574.0
Розувастатин таблетки 10мг №30,2022-12-28,677.0,564.0,677.0
Энап H таблетки 10мг+25мг N60,2022-12-28,864.0,540.0,864.0
Валсартан таблетки 160мг №30,2022-12-28,510.0,425.0,510.0
Танакан таблетки 40мг №90,2022-12-28,1290.0,1290.0,1985.0
Вальсакор Н таблетки 160мг+12.5мг №90,2022-12-28,1269.0,809.0,1269.0
Ивабрадин таблетки 5мг №56,2022-12-28,633.0,502.0,633.0
"Лозартан таблетки 12,5мг №30",2022-12-28,49.0,46.0,49.0
"Вальсакор Н таблетки 80мг+12,5мг №90",2022-12-28,1056.0,660.0,1056.0
Анаприлин таблетки 10мг №100,2022-12-28,41.0,39.0,41.0
Периндоприл таблетки 8мг №30 Пранафарм,2022-12-28,196.0,168.0,196.0
Атенолол таблетки 50мг №30,2022-12-28,27.0,24.0,27.0
Лизиноприл таблетки 10мг №30,2022-12-28,139.0,120.0,139.0
"Моксарел таблетки 0,4мг №30",2022-12-28,425.0,425.0,425.0
Ангиовит таблетки №60,2022-12-28,322.0,216.0,322.0
Валсартан таблетки 80мг №30,2022-12-28,356.0,296.0,356.0
Гидрохлортиазид таблетки 25мг №20,2022-12-28,55.0,48.0,55.0
Тримектал ОД таблетки 80мг №30,2022-12-28,655.0,543.0,655.0
Калия оротат таблетки 0.5г №20,2022-12-28,188.0,150.0,188.0
Папазол таблетки №20,2022-12-28,81.0,63.0,81.0
Лерканорм таблетки 20мг №30,2022-12-28,777.0,647.0,777.0
Эдарби таблетки 40мг №28,2022-12-28,991.0,775.0,991.0
Лизиноприл таблетки 10мг №20,2022-12-28,95.0,76.0,95.0
Лизиноприл таблетки 20мг №30,2022-12-28,221.0,201.0,221.0
Бисопролол таблетки 10мг №50,2022-12-28,242.0,202.0,242.0
Симвастатин таблетки 20мг №30,2022-12-28,266.0,252.0,266.0
"Тенорокс таблетки 50мг+12,5мг №28",2022-12-28,150.0,112.0,150.0
Эскузан капли для приема внутрь флакон 20мл,2022-12-28,522.0,314.0,522.0
Эдарби Кло таблетки 40мг+25мг №28,2022-12-28,1295.0,1037.0,1295.0
Кардикет ретард таблетки 20мг №50,2022-12-28,160.0,108.0,160.0
Лозартан таблетки 100мг №90,2022-12-28,535.0,446.0,535.0
Гинкго билоба капсулы 80мг №30,2022-12-28,599.0,499.0,599.0
Метопролол таблетки 100мг №30,2022-12-28,343.0,309.0,343.0
МетуцинВел раствор для инъекций 50мг/мл ампулы 5мл №5,2022-12-28,403.0,336.0,403.0
"Лозап плюс таблетки 50мг+12,5мг №90",2022-12-28,1169.0,777.0,1169.0
Роксера таблетки 10мг №90,2022-12-28,1882.0,1144.0,1882.0
Небиволол таблетки 5мг №14,2022-12-28,467.0,389.0,467.0
Эналаприл таблетки 20мг №50,2022-12-28,209.0,165.0,209.0
Розувастатин-Вертекс таблетки 20мг №30,2022-12-28,728.0,606.0,728.0
"Рамазид Н таблетки 5мг+12,5мг №30",2022-12-28,517.0,345.0,517.0
Тенорокс таблетки 100мг+25мг №28,2022-12-28,216.0,156.0,216.0
Мельдоний капсулы 250мг №40 Южфарм,2022-12-28,348.0,290.0,348.0
Церепро капсулы 400мг №56,2022-12-28,2209.0,1611.0,2209.0
Мельдоний капсулы 500мг №60 Озон,2022-12-28,802.0,623.0,802.0
Эналаприл таблетки 20мг №20,2022-12-28,149.0,130.0,149.0
Бисопролол таблетки 10мг №30,2022-12-28,168.0,160.0,168.0
Фозиноприл таблетки 20мг №30,2022-12-28,579.0,473.0,579.0
Фуросемид раствор для инъекций 10мг/мл ампулы 2мл №10,2022-12-28,60.0,52.0,60.0
"Юперио таблетки 100мг (51,4мг+48,6мг) №28",2022-12-28,2637.0,2100.0,2637.0
Троксерутин капсулы 300мг №50,2022-12-28,486.0,405.0,486.0
Тримектал МВ таблетки 35мг №60,2022-12-28,719.0,599.0,719.0
Амлодипин таблетки 5мг №30,2022-12-28,136.0,129.0,136.0
Атенолол таблетки 100мг №30,2022-12-28,31.0,29.0,31.0
Фозиноприл таблетки 10мг №30,2022-12-28,423.0,346.0,423.0
Лизиноприл таблетки 20мг №30,2022-12-28,174.0,141.0,174.0
Метопролол таблетки 50мг №30,2022-12-28,251.0,236.0,251.0
Амлодипин-Периндоприл таблетки 5мг+5мг №30,2022-12-28,463.0,382.0,463.0
Ко-Перинева таблетки 1.25мг+4мг №30,2022-12-28,696.0,435.0,696.0
Рамазид Н таблетки 5мг+25мг №30,2022-12-28,554.0,333.0,554.0
Калчек таблетки 5мг №30,2022-12-28,182.0,139.0,182.0
Метопролол таблетки 50мг №60,2022-12-28,94.0,87.0,94.0
"Ивабрадин таблетки 7,5мг №56",2022-12-28,770.0,564.0,770.0
Кардиоактив Таурин таблетки №60,2022-12-28,546.0,376.0,546.0
Ацетазоламид таблетки 250мг №30,2022-12-28,237.0,178.0,237.0
Аторвастатин таблетки 20мг №90,2022-12-28,992.0,842.0,992.0
Дилтиазем таблетки 60мг №30,2022-12-28,183.0,121.0,183.0
Коринфар таблетки 10мг №50,2022-12-28,70.0,55.0,70.0
Нитросорбид таблетки 10мг №60,2022-12-28,32.0,24.0,32.0
Перинева таблетки 4мг №90,2022-12-28,638.0,412.0,638.0
Флебодиа 600 таблетки 600мг №60,2022-12-28,2659.0,1808.0,2659.0
"Юперио таблетки 50мг (25,7мг+24,3мг) №28",2022-12-28,2584.0,2100.0,2584.0
"Индапамид+Периндоприл таблетки 1,25мг+5мг №30",2022-12-28,587.0,489.0,587.0
"Моксонидин таблетки 0,4мг №60",2022-12-28,659.0,541.0,659.0
"Юперио таблетки 200мг (102,8мг+97,2мг) №28",2022-12-28,2628.0,2100.0,2628.0
Аторвастатин таблетки 80мг №30,2022-12-28,424.0,354.0,424.0
"Периндоприл Плюс таблетки 1,25мг+4мг №30",2022-12-28,378.0,313.0,378.0
Лотонел таблетки 10мг №30,2022-12-28,574.0,478.0,574.0
"Эналаприл HЛ таблетки 10мг+12,5мг №20",2022-12-28,114.0,90.0,114.0
Холи-Альфа раствор для инъекций  250 мг/мл ампулы 4мл №5,2022-12-28,469.0,436.0,469.0
Дилтиазем таблетки 90мг №30,2022-12-28,203.0,136.0,203.0
Эдарби таблетки 20мг №28,2022-12-28,719.0,562.0,719.0
Лотонел таблетки 5мг №30,2022-12-28,428.0,356.0,428.0
"Аромасепт карандаш для ингаляций 1,3г",2022-12-28,148.0,118.0,148.0
"Ципромед капли ушные 0,3% флакон 10мл",2022-12-28,150.0,116.0,150.0
Колдрекс МаксГрипп порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,776.0,646.0,776.0
Изопринозин таблетки 500мг №50,2022-12-28,1648.0,1648.0,2353.0
Гроприносин таблетки 500мг №30,2022-12-28,1184.0,831.0,1184.0
"Ринилор таблетка для приготовления раствора 0,2г + растворитель флакон 10мл",2022-12-28,373.0,310.0,373.0
Протаргол 2% спрей флакон 15мл,2022-12-28,194.0,163.0,194.0
Солгар Спирулина капсулы 750мг №80,2022-12-28,2184.0,1867.0,2184.0
Римантадин таблетки 50мг №20,2022-12-28,147.0,118.0,147.0
АцетилРутин 200мг таблетки шипучие №20,2022-12-28,298.0,248.0,298.0
Бромгексин таблетки 8мг №50,2022-12-28,142.0,113.0,142.0
КамеСпрей спрей 50мл,2022-12-28,148.0,118.0,148.0
Горячее питье Комплекс в сезон простуд с витамином С саше со вкусом малины №10,2022-12-28,228.0,188.0,228.0
Изопринозин таблетки 500мг №20,2022-12-28,691.0,691.0,987.0
Фито-Арома Таблетки для горла №50,2022-12-28,163.0,144.0,163.0
Оралсепт спрей флакон 30мл,2022-12-28,463.0,285.0,463.0
Ацетилцистеин лонг 600мг таблетки шипучие №10,2022-12-28,194.0,174.0,194.0
Лазолван рино спрей назальный 82мкг/доза флакон 10мл,2022-12-28,463.0,318.0,463.0
Тилорам таблетки 125мг №6,2022-12-28,657.0,528.0,657.0
Аква марис Спрей назальный флакон 30мл,2022-12-28,405.0,261.0,405.0
Линкас Балм мазь 25г,2022-12-28,262.0,219.0,262.0
Сироп Первоцвета с витамином С флакон 150мл,2022-12-28,167.0,167.0,238.0
Сироп Подорожника Бронхинорм флакон 150мл,2022-12-28,153.0,122.0,153.0
Анаферон детский капли флакон 25мл,2022-12-28,522.0,338.0,522.0
Кандибиотик капли ушные флакон 5мл,2022-12-28,689.0,475.0,689.0
Аджисепт пастилки Классические №24,2022-12-28,214.0,178.0,214.0
Септолете Тотал таблетки для рассасывания Мед+Лимон №16,2022-12-28,265.0,265.0,408.0
Стопгрипан форте порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,572.0,344.0,572.0
Отофа капли ушные флакон 10мл,2022-12-28,194.0,156.0,194.0
Аквалор Актив форте спрей назальный флакон 150мл,2022-12-28,660.0,427.0,660.0
Колдрекс хотрем порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,662.0,398.0,662.0
Граммидин детский спрей флакон 112 доз,2022-12-28,684.0,408.0,684.0
"Назик спрей назальный 0,1мг+5мг/доза флакон 10мл",2022-12-28,320.0,267.0,320.0
Простолор капли назальные 10мл,2022-12-28,248.0,198.0,248.0
"Деринат раствор для местного применения 0,25% флакон 10мл",2022-12-28,443.0,302.0,443.0
"Снуппик капли назальные 0,01% флакон 5мл",2022-12-28,265.0,181.0,265.0
Оциллококцинум гранулы гомеопатические №12,2022-12-28,1172.0,836.0,1172.0
Геделикс капли флакон 50мл,2022-12-28,507.0,354.0,507.0
Прополис-ДН суппозитории №6,2022-12-28,321.0,219.0,321.0
Эхинацея настойка флакон 50мл,2022-12-28,167.0,118.0,167.0
Гриппферон капли 10тыс.МЕ/мл флакон 10мл,2022-12-28,308.0,241.0,308.0
Мукалтин таблетки №20,2022-12-28,107.0,84.0,107.0
Ингавирин капсулы 90мг №10,2022-12-28,846.0,617.0,846.0
Снуп спрей назальный 90мкг/доза флакон 15мл,2022-12-28,118.0,101.0,118.0
"Морелор Ксило спрей назальный 0,1% флакон 15мл",2022-12-28,146.0,128.0,146.0
Граммидин Нео с анестетиком таблетки для рассасывания №18,2022-12-28,534.0,329.0,534.0
"Риномарис спрей назальный 0,1% флакон 15мл",2022-12-28,173.0,141.0,173.0
Ингавирин капсулы 60мг №10,2022-12-28,712.0,595.0,712.0
Терафлю порошок для приготовления раствора для приема внутрь Лимон пакетики №4,2022-12-28,433.0,249.0,433.0
Лизобакт таблетки для рассасывания №30,2022-12-28,439.0,272.0,439.0
Терафлю порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,699.0,417.0,699.0
Колдакт флю плюс капсулы №10,2022-12-28,358.0,232.0,358.0
"Ксилометазолин капли назальные 0,1% флакон 15мл",2022-12-28,38.0,32.0,38.0
Амбробене сироп 15мг/5мл флакон 100мл,2022-12-28,122.0,102.0,122.0
Таблетки от кашля таблетки №20,2022-12-28,90.0,72.0,90.0
