count_index,name_item_prop,parsing_day,Нозология,Действующее вещество,Группа товара,Бренд,Производитель,Страна,Форма выпуска,Рецепт,Условия хранения,"Действующее вещество, сборное название","Состав, вес (кратко)",Фармакотерапевтическая группа,Количество в упаковке,Other,nosology_1,nosology_2,nosology_3,nosology_4,nosology_5,active_ingredient_1,active_ingredient_2,active_ingredient_3,active_ingredient_4,active_ingredient_5,active_ingredient_6,active_ingredient_7,active_ingredient_8,active_ingredient_9,active_ingredient_10,active_ingredient_11,product_group_1,product_group_2,product_group_3,product_group_4,product_group_5,product_group_6,product_group_7,product_group_8,product_group_9,product_group_10,product_group_11,product_group_12,product_group_13,product_group_14,product_group_15,product_group_16,product_group_17,product_group_18,product_group_19,product_group_20,product_group_21,product_group_22
11_2023-06-27,Атенолол таблетки 100мг №30,2023-06-27,"['Мигрень', 'Злокачественное новообразование мозгового слоя надпочечника', 'Доброкачественное новообразование надпочечника', 'Тиреотоксикоз [гипертиреоз]', 'Психическое и поведенческое расстройство, вызванное употреблением алкоголя. Абстинентное состояние']",['Атенолол'],[],['Атенолол'],"['ОАО ""Марбиофарм""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Атенолол'],['100мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_2023-06-27,Телзап АМ таблетки 5мг+40мг №56,2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Телмисартан']",[],['Телзап АМ'],['Zentiva/ Зентива'],['Чехия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Телмисартан'],['5мг+40мг'],[],['56 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_2023-06-27,Эксфорж таблетки 10мг+160мг №28,2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Валсартан']",[],['Эксфорж'],['Novartis Pharma AG/ Новартис Фарма'],['Испания'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Амлодипин+Валсартан'],['10мг+160мг'],['Средства снижающие давление'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_2023-06-27,"Моксонидин таблетки 0,2мг №28",2023-06-27,['Эссенциальная [первичная] гипертензия'],['Моксонидин'],"['Физиотенз', 'Моксонитекс', 'Тензотран']",['Моксонидин'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Моксонидин'],['0.2мг'],['Средства снижающие давление'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_2023-06-27,Метопролол таблетки 100мг №30,2023-06-27,"['Мигрень', 'Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Острый инфаркт миокарда', 'Наджелудочковая тахикардия']",['Метопролол'],"['Беталок', 'Вазокардин', 'Метокард', 'Эгилок']",['Метопролол'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Метопролол'],['100мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_2023-06-27,Эналаприл таблетки 5мг №20,2023-06-27,"['Эссенциальная [первичная] гипертензия', 'Реноваскулярная гипертензия', 'Нестабильная стенокардия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность']",['Эналаприл'],"['Берлиприл', 'Рениприл', 'Ренитек', 'Эднит', 'Энам', 'Энап']",['Эналаприл'],"['ЗАО ФП ""Оболенское""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Эналаприл'],['5мг'],['Средства снижающие давление'],['20 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_2023-06-27,Верапамил таблетки 40мг №30,2023-06-27,[],['Верапамил'],['Изоптин'],['Верапамил'],['Alkaloid/ Алкалоид'],['Македония'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Верапамил'],['40мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_2023-06-27,"Коапровель таблетки 150мг+12,5мг №28",2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Гидрохлоротиазид', 'Ирбесартан']",[],['Коапровель'],['Sanofi Aventis Pharma/ Санофи Авентис'],['Франция'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Ирбесартан+Гидрохлоротиазид'],['150мг+12.5мг'],['Средства снижающие давление'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2023-06-27,Эналаприл таблетки 20мг №20,2023-06-27,"['Эссенциальная [первичная] гипертензия', 'Реноваскулярная гипертензия', 'Нестабильная стенокардия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность']",['Эналаприл'],"['Берлиприл', 'Рениприл', 'Ренитек', 'Эднит', 'Энам', 'Энап']",['Эналаприл'],"['ЗАО ФП ""Оболенское""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Эналаприл'],['20мг'],['Средства снижающие давление'],['20 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_2023-06-27,Экламиз таблетки 5мг+10мг №30,2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Лизиноприл']","['Экватор', 'Эквакард']",['Экламиз'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Лизиноприл'],['5мг+10мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_2023-06-27,Лизиноприл таблетки 5мг №30,2023-06-27,"['Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность', 'Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)']",['Лизиноприл'],"['Диротон', 'Ирумед', 'Лизинотон', 'Лизигамма', 'Лизипрекс']",['Лизиноприл'],['Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['5мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_2023-06-27,"Эдарби Кло таблетки 40мг+12,5мг №98",2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Азилсартана медоксомил', 'Хлорталидон']",[],['Эдарби кло'],"['ООО ""Такеда Фармасьютикалс""']",['Ирландия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Азилсартана медоксомил+Хлорталидон'],['40мг+12.5мг'],['Средства снижающие давление'],['98 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_2023-06-27,Лизиноприл таблетки 5мг №30,2023-06-27,[],['Лизиноприл'],"['Диротон', 'Ирумед', 'Лизинотон', 'Лизигамма', 'Лизипрекс']",['Лизиноприл'],"['ОАО ЗМП ""Борисовский""']",['Беларусь'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['5мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_2023-06-27,Метопролол таблетки 50мг №30,2023-06-27,"['Мигрень', 'Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Острый инфаркт миокарда', 'Наджелудочковая тахикардия']",['Метопролол'],"['Беталок', 'Вазокардин', 'Метокард', 'Эгилок']",['Метопролол'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Метопролол'],['50мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_2023-06-27,Бисопролол таблетки 5мг №30,2023-06-27,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Бисопролол'],"['Арител', 'Биол', 'Конкор', 'Бипрол', 'Кординорм', 'Коронал', 'Нипертен', 'Бисогамма']",['Бисопролол'],['Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Бисопролол'],['5мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26_2023-06-27,"Периндоприл Плюс индапамид таблетки 1,25мг+4мг №30",2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Индапамид', 'Периндоприл']","['Коперинева', 'Нолипрел']",['Периндоприл Плюс'],"['ООО ""Изварино Фарма""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Индапамид+Периндоприл'],['1.25мг+4мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_2023-06-27,Амлодипин таблетки 5мг №30,2023-06-27,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Нестабильная стенокардия', 'Стенокардия с документально подтвержденным спазмом']",['Амлодипин'],"['Калчек', 'Амлотоп', 'Норваск', 'Нормодипин', 'Тенокс']",['Амлодипин'],"['ООО ""Розлекс Фарм""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин'],['5мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_2023-06-27,Бисопролол таблетки 10мг №50,2023-06-27,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Бисопролол'],"['Арител', 'Биол', 'Конкор', 'Бипрол', 'Кординорм', 'Коронал', 'Нипертен', 'Бисогамма']",['Бисопролол'],['Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Бисопролол'],['10мг'],['Средства снижающие давление'],['50 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_2023-06-27,Лизинотон таблетки 10мг №28,2023-06-27,"['Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность']",['Лизиноприл'],[],['Лизинотон'],['Actavis Group/Актавис'],['Мальта'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['10мг'],['Средства снижающие давление'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_2023-06-27,Амлотоп таблетки 10мг №30,2023-06-27,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Нестабильная стенокардия', 'Стенокардия с документально подтвержденным спазмом']",['Амлодипин'],[],['Амлотоп'],"['ООО ""Хемофарм""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин'],['10мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_2023-06-27,Бисопролол таблетки 5мг №50,2023-06-27,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Бисопролол'],"['Арител', 'Биол', 'Конкор', 'Бипрол', 'Кординорм', 'Коронал', 'Нипертен', 'Бисогамма']",['Бисопролол'],['Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Бисопролол'],['5мг'],['Средства снижающие давление'],['50 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_2023-06-27,Валз таблетки 160мг №28,2023-06-27,"['Эссенциальная [первичная] гипертензия', 'Вторичная гипертензия']",['Валсартан'],[],['Валз'],['Balkanpharma Dupnitza/ Балканфарма Дупница'],['Болгария'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Валсартан'],['160мг'],['Средства снижающие давление'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_2023-06-27,Нитроглицерин таблетки 0.5мг №40,2023-06-27,[],['Нитроглицерин'],[],['Нитроглицерин'],"['АО ""Медисорб""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Нитроглицерин'],['0.5мг'],['Прочие средства в кардиологии'],['40 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_2023-06-27,Кардикет ретард таблетки 40мг №50,2023-06-27,[],['Изосорбида динитрат'],[],['Кардикет'],['Schwarz Pharma AG/ Шварц Фарма'],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Изосорбида динитрат'],['40мг'],['Антиангинальные средства'],['50 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35_2023-06-27,Кардикет ретард таблетки 20мг №50,2023-06-27,[],['Изосорбида динитрат'],[],['Кардикет'],['Schwarz Pharma AG/ Шварц Фарма'],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Изосорбида динитрат'],['20мг'],['Антиангинальные средства'],['50 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36_2023-06-27,Раеном таблетки 5мг №56,2023-06-27,"['Ишемическая болезнь сердца', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Ивабрадин'],['Кораксан'],['Раеном'],['Gedeon Richter/ Гедеон Рихтер'],['Румыния'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Ивабрадин'],['5мг'],['Антиангинальные средства'],['56 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37_2023-06-27,Ранекса таблетки 500мг №60,2023-06-27,['Стенокардия [грудная жаба]'],['Ранолазин'],[],['Ранекса'],['Berlin-Chemie AG/ Берлин-Хеми '],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Ранолазин'],['500мг'],['Прочие средства в кардиологии'],['60 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38_2023-06-27,Флебодиа крем 50г,2023-06-27,[],['Диосмин'],['Ангиорус'],['Флебодиа'],['Dzintars/Дзинтарс'],['Латвия'],[],[],['Не выше 25 С'],['Диосмин'],['Отсутствует'],[],['50 г'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39_2023-06-27,Докси-Хем капсулы 500мг №90,2023-06-27,"['Диабетическая ретинопатия (E10-E14+ с общим четвертым знаком .3)', 'Флебит и тромбофлебит поверхностных сосудов нижних конечностей', 'Варикозное расширение вен нижних конечностей', 'Варикозное расширение вен нижних конечностей с язвой и воспалением', 'Хроническая язва кожи, не классифицированная в других рубриках']",['Кальция добезилат'],[],['Докси-Хем'],['Hemofarm A.D./ Хемофарм'],['Сербия'],['Капсулы'],['Рецептурный'],['15-25 С'],['Кальция добезилат'],['500мг'],['Венотонизирующие внутренние средства'],['90 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40_2023-06-27,Солгар Коэнзим Q-10 капсулы 30мг №30,2023-06-27,['Атеросклероз'],['Коэнзим Q10'],[],['Solgar/ Солгар'],['Solgar Vitamin/ Солгар'],['США'],['Капсулы'],['Без рецепта'],['15-30 С'],['Коэнзим Q10'],['30мг'],['Комплексы витаминов'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41_2023-06-27,"Панангин раствор для инфузий 45,2мг+40мг/мл ампулы 10мл №5",2023-06-27,"['Гипокалиемия', 'Недостаточность магния', 'Острый инфаркт миокарда', 'Желудочковая тахикардия', 'Другая и неуточненная преждевременная деполяризация']","['Калия аспарагинат', 'Магния аспарагинат']",[],['Панангин'],['Gedeon Richter/ Гедеон Рихтер'],['Венгрия'],['Раствор для инфузий'],['Рецептурный'],['15-30 С'],['Калия аспарагинат+Магния аспарагинат'],['45.2мг+40мг'],['Прочие средства в кардиологии'],"['10 мл, 5 шт']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42_2023-06-27,Солгар Корень дягиля плюс лекарственного капсулы №100,2023-06-27,['Атеросклероз'],"['Дягиля корни и корневища', 'Эк-т дягиля']",[],['Solgar/ Солгар'],['Solgar Vitamin/ Солгар'],['США'],['Капсулы'],['Без рецепта'],['Не выше 25 С'],['Дягиля корни и корневища+Эк-т дягиля'],['Отсутствует'],['Комплексы витаминов'],['100 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43_2023-06-27,Рибоксин раствор для инъекций 2% ампулы 5мл №10,2023-06-27,['Ишемическая болезнь сердца'],['Инозин'],[],['Рибоксин раствор'],"['ПАО ""Биосинтез""']",['Россия'],['Раствор для инъекций'],['Рецептурный'],['Не выше 25 С'],['Инозин'],['20мг/мл'],['Прочие средства в кардиологии'],"['5 мл, 10 шт']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44_2023-06-27,Корвалол форте таблетки №30,2023-06-27,"['Неврастения', 'Раздражительность и озлобление', 'Ипохондрическое расстройство', 'Соматоформная дисфункция вегетативной нервной системы', 'Невротическое расстройство неуточненное']","['Мяты перечной масло', 'Фенобарбитал', 'Этилбромизовалерианат']","['Валемедин, Валокордин, Корвалол (ФГА)', 'Корвалол', 'Валосердин', 'Валокордин']",['Корвалол таблетки'],"['ОАО ""Фармак""']",['Украина'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Фенобарбитал+Этилбромизовалерианат+Мяты перечной масло'],['11.34мг+12.42мг+0.88мг'],['Прочие средства в кардиологии'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45_2023-06-27,Ливазо таблетки 4мг №28,2023-06-27,"['Чистая гиперхолестеринемия', 'Смешанная гиперлипидемия']",['Питавастатин'],[],['Ливазо'],"['Recordati lreland Ltd./Рекордати Ирландия Лтд., Ирландия']",['Ирландия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Питавастатин'],['4мг'],['Гиполипидемические средства (Статины)'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46_2023-06-27,Зенон таблетки 10мг+10мг №30,2023-06-27,"['Чистая гиперхолестеринемия', 'Смешанная гиперлипидемия']","['Розувастатин', 'Эзетимиб']",[],['Зенон'],['Sanofi Ilac Sanofi ve Ticaret A.S./ Санофи Илач Санайи ве Тиджарет А.Ш.'],['Турция'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Розувастатин+Эзетимиб'],['10мг+10мг'],[],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47_2023-06-27,Торвакард таблетки 10мг №90,2023-06-27,"['Инфаркт мозга', 'Чистая гиперхолестеринемия', 'Чистая гиперглицеридемия', 'Смешанная гиперлипидемия', 'Острый инфаркт миокарда']",['Аторвастатин'],[],['Торвакард'],['Zentiva/ Зентива'],['Чехия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Аторвастатин'],['10мг'],['Гиполипидемические средства (Статины)'],['90 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48_2023-06-27,Ро-статин таблетки 20мг №30,2023-06-27,"['Атеросклероз', 'Ишемическая болезнь сердца', 'Чистая гиперхолестеринемия', 'Чистая гиперглицеридемия', 'Смешанная гиперлипидемия']",['Розувастатин'],"['Акорта', 'Кардиолип', 'Крестор', 'Мертенил', 'Розарт', 'Липопрайм', 'Реддистатин', 'Розистарк', 'Розукард', 'Розулип', 'Роксера', 'Сувардио', 'Тевастор']",['Ро-статин'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Розувастатин'],['20мг'],['Гиполипидемические средства (Статины)'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49_2023-06-27,Розувастатин Тева таблетки 10мг №30,2023-06-27,"['Атеросклероз', 'Ишемическая болезнь сердца', 'Чистая гиперхолестеринемия', 'Чистая гиперглицеридемия', 'Смешанная гиперлипидемия']",['Розувастатин'],"['Акорта', 'Кардиолип', 'Крестор', 'Мертенил', 'Розарт', 'Липопрайм', 'Реддистатин', 'Розистарк', 'Розукард', 'Розулип', 'Роксера', 'Сувардио', 'Тевастор']",['Розувастатин'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Розувастатин'],['10мг'],['Гиполипидемические средства (Статины)'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50_2023-06-27,"Телзап плюс таблетки 80мг+12,5мг №90",2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Гидрохлоротиазид', 'Телмисартан']",[],['Телзап плюс'],['Sanofi Ilac Sanofi ve Ticaret A.S./ Санофи Илач Санайи ве Тиджарет А.Ш.'],['Турция'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Телмисартан+Гидрохлоротиазид'],['80мг+12.5мг'],['Средства снижающие давление'],['90 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
