count_index,name,price_withCard,price_withPeriod,price_withoutCard,allowOnlinePayment,isInStock,name_latin,bonuses,averageRating,isAvailable,allowDelivery,isRecipe,group,parsing_day_x,Nosology,Active_ingredient,Product_Group,Brand,Manufacturer,Country,Form_release,Form_release_common,Prescription,Conditions_of_storage,Active_ingredient_compound_name_composition,weight_briefly,Pharmacotherapeutic_group
29_2022-12-28,Дузофарм таблетки 50мг №90,1164.0,845.0,1164.0,0,0,duzofarm_tabletki_50mg_90,17.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Атеросклероз, Инфаркт мозга, Преходящие транзиторные церебральные ишемические приступы атаки и родственные синдромы, Диабетическая ретинопатия (E10-E14+ с общим четвертым знаком .3), Церебральный атеросклероз",Нафтидрофурил,"Таблетки для  памяти, Для памяти",Дузофарм,Unipharm Inc./ Юнифарм Инк.,Болгария,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Нафтидрофурил,50мг,Средства улучшающие мозговое кровообращение
30_2022-12-28,Индапамид таблетки 2.5мг №30,27.0,25.0,27.0,0,0,indapamid_tabletki_2_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,,Индапамид,Not value,Индапамид,"АО ""Биохимик""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Индапамид,2.5мг,Мочегонные средства (Диуретики)
32_2022-12-28,"Индапамид-Тева таблетки 2,5мг №30",110.0,84.0,110.0,0,0,indapamidteva_tabletki_2_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,,Индапамид,Not value,Индапамид,"PLIVA HRVATSKA, d.o.o. / Плива Хрватска д.о.о.",Болгария,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Индапамид,2.5мг,Мочегонные средства (Диуретики)
35_2022-12-28,Каптоприл таблетки 50мг №20,35.0,27.0,35.0,0,0,kaptopril_tabletki_50mg_20,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,Ишемическая болезнь сердца,Каптоприл,Not value,Каптоприл,"ООО ""Пранафарм""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Каптоприл,50мг,Средства снижающие давление
42_2022-12-28,Корвалол капли для приема внутрь фл. 25мл,58.0,36.0,58.0,1,0,korvalol_kapli_dlya_priema_vnutr_fl_25ml,2.0,0.0,0,1,0,serdechnososudistaya,2022-12-28,"Неврастения, Раздражительность и озлобление, Ипохондрическое расстройство, Соматоформная дисфункция вегетативной нервной системы, Невротическое расстройство неуточненное","Мяты перечной масло, Фенобарбитал, Этилбромизовалерианат",Not value,Корвалол капли,"ЗАО ""Московская ФФ""",Россия,Капли для приема внутрь,Капли,Без рецепта,Не выше 25 С,Фенобарбитал+Этилбромизовалерианат+Мяты перечной масло,1.96г+2.15г+0.15г,Прочие средства в кардиологии
43_2022-12-28,Корвалол капли для приема внутрь фл. 25мл,139.0,90.0,139.0,1,0,korvalol_kapli_dlya_priema_vnutr_fl_25ml,5.0,0.0,0,1,0,serdechnososudistaya,2022-12-28,"Неврастения, Раздражительность и озлобление, Ипохондрическое расстройство, Соматоформная дисфункция вегетативной нервной системы, Другие уточненные невротические расстройства","Мяты перечной масло, Фенобарбитал, Этилбромизовалерианат",Not value,Корвалол капли,"ЗАО ""ПФК Обновление""",Россия,Капли для приема внутрь,Капли,Без рецепта,Не выше 25 С,Фенобарбитал+Этилбромизовалерианат+Мяты перечной масло,18.26г+20г+1.42г,Прочие средства в кардиологии
46_2022-12-28,Кордипин XL таблетки 40мг №20,147.0,109.0,147.0,0,0,kordipin_xl_tabletki_40mg_20,3.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Эссенциальная первичная гипертензия, Стенокардия грудная жаба, Стенокардия с документально подтвержденным спазмом, Синдром Рейно",Нифедипин,Not value,Кордипин,KRKA d.d./ КРКА,Словения,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Нифедипин,40мг,Средства снижающие давление
47_2022-12-28,Коринфар ретард таблетки 20мг №30,110.0,85.0,110.0,0,0,korinfar_retard_tabletki_20mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Эссенциальная первичная гипертензия, Стенокардия грудная жаба, Стенокардия с документально подтвержденным спазмом, Другие формы стенокардии",Нифедипин,Not value,Коринфар,Teva Pharm. Industries/ Тева Фарм. Предприятие,Германия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Нифедипин,20мг,Средства снижающие давление
48_2022-12-28,Крестор таблетки 40мг №28,6734.0,4143.0,6734.0,0,0,krestor_tabletki_40mg_28,136.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Атеросклероз, Чистая гиперхолестеринемия, Чистая гиперглицеридемия, Смешанная гиперлипидемия",Розувастатин,Not value,Крестор,Astrazeneca GMbH/ Астразенека,Великобритания,Таблетки,Таблетки,Рецептурный,Не выше 30 С,Розувастатин,40мг,Гиполипидемические средства (Статины)
50_2022-12-28,Лизиноприл таблетки 10мг №30,219.0,165.0,219.0,0,0,lizinopril_tabletki_10mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Эссенциальная первичная гипертензия, Острый инфаркт миокарда, Застойная сердечная недостаточность, Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)",Лизиноприл,Not value,Лизиноприл,Teva Pharm. Industries/ Тева Фарм. Предприятие,Израиль,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Лизиноприл,10мг,Средства снижающие давление
51_2022-12-28,Лизиноприл таблетки 10мг №30,131.0,105.0,131.0,0,0,lizinopril_tabletki_10mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Эссенциальная первичная гипертензия, Острый инфаркт миокарда, Застойная сердечная недостаточность, Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)",Лизиноприл,Not value,Лизиноприл,"ООО ""Озон""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Лизиноприл,10мг,Средства снижающие давление
52_2022-12-28,Лизиноприл таблетки 5мг №30,64.0,47.0,64.0,0,0,lizinopril_tabletki_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Эссенциальная первичная гипертензия, Острый инфаркт миокарда, Застойная сердечная недостаточность, Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)",Лизиноприл,Not value,Лизиноприл,"ЗАО ""Алси Фарма""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Лизиноприл,5мг,Средства снижающие давление
53_2022-12-28,Лизиноприл таблетки 5мг №30,54.0,37.0,54.0,0,0,lizinopril_tabletki_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,,Лизиноприл,Not value,Лизиноприл,"ОАО ЗМП ""Борисовский""",Беларусь,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Лизиноприл,5мг,Средства снижающие давление
54_2022-12-28,Лизиноприл таблетки 5мг №30,131.0,98.0,131.0,0,0,lizinopril_tabletki_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Эссенциальная первичная гипертензия, Острый инфаркт миокарда, Застойная сердечная недостаточность, Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)",Лизиноприл,Not value,Лизиноприл,Teva Pharm. Industries/ Тева Фарм. Предприятие,Израиль,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Лизиноприл,5мг,Средства снижающие давление
58_2022-12-28,Мексикор капсулы 100мг №60,389.0,294.0,389.0,0,0,meksikor_kapsuly_100mg_60,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Неврастения, Инфаркт мозга, Внутричерепная травма, Расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга, Психическое и поведенческое расстройство, вызванное употреблением алкоголя. Абстинентное состояние",Этилметилгидроксипиридина сукцинат,"Таблетки для  памяти, Для памяти",Мексикор,"ЗАО ""МираксБиоФарма""",Россия,Капсулы для приема внутрь,Капсулы,Рецептурный,Не выше 25 С,Этилметилгидроксипиридина сукцинат,100мг,Средства улучшающие мозговое кровообращение
59_2022-12-28,Мексиприм раствор для инъекций 50мг/мл ампулы 2мл №10,418.0,279.0,418.0,0,0,meksiprim_rastvor_dlya_inekcij_50mgml_ampuly_2ml_10,15.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Неврастения, Перитонит, Инфаркт мозга, Расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга, Психическое и поведенческое расстройство, вызванное употреблением алкоголя. Абстинентное состояние",Этилметилгидроксипиридина сукцинат,Для памяти,Мексиприм,"ФГУП ""Московский эндокринный з-д""",Россия,Раствор для инъекций,Растворы,Рецептурный,Не выше 25 С,Этилметилгидроксипиридина сукцинат,50мг/мл,Средства улучшающие мозговое кровообращение
60_2022-12-28,Мексиприм раствор для инъекций 50мг/мл ампулы 5мл №5,409.0,270.0,409.0,0,0,meksiprim_rastvor_dlya_inekcij_50mgml_ampuly_5ml_5,16.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Неврастения, Перитонит, Инфаркт мозга, Расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга, Психическое и поведенческое расстройство, вызванное употреблением алкоголя. Абстинентное состояние",Этилметилгидроксипиридина сукцинат,Для памяти,Мексиприм,"ОАО ""Нижфарм""",Россия,Раствор для инъекций,Растворы,Рецептурный,Не выше 25 С,Этилметилгидроксипиридина сукцинат,50мг/мл,Средства улучшающие мозговое кровообращение
62_2022-12-28,Мельдоний раствор для инъекций 100мг/мл ампулы 5мл №10,173.0,121.0,173.0,0,0,meldonij_rr_100mgml_amp_5ml_10,0.0,5.0,0,0,1,serdechnososudistaya,2022-12-28,Ишемическая болезнь сердца,Мельдоний ,Not value,Мельдоний,"АО ""Биохимик""",Россия,Раствор для инъекций,Растворы,Рецептурный,Не выше 25 С,Мельдоний ,100мг/мл,Прочие средства в кардиологии
66_2022-12-28,Милдронат капсулы 250мг №40,796.0,551.0,796.0,1,0,mildronat_kapsuly_250mg_40,9.0,0.0,0,1,0,serdechnososudistaya,2022-12-28,"Ишемическая болезнь сердца, Инфаркт мозга, Психическое и поведенческое расстройство, вызванное употреблением алкоголя. Абстинентное состояние, Преходящие транзиторные церебральные ишемические приступы атаки и родственные синдромы, Стенокардия грудная жаба",Мельдоний ,Not value,Милдронат,Grindex /Гриндекс,Латвия,Капсулы для приема внутрь,Капсулы,Без рецепта,Не выше 25 С,Мельдоний ,250мг,Прочие средства в кардиологии
67_2022-12-28,Милдронат капсулы 500мг №60,1212.0,838.0,1212.0,0,0,mildronat_kapsuly_500mg_60,17.0,5.0,0,0,1,serdechnososudistaya,2022-12-28,"Ишемическая болезнь сердца, Инфаркт мозга, Психическое и поведенческое расстройство, вызванное употреблением алкоголя. Абстинентное состояние, Преходящие транзиторные церебральные ишемические приступы атаки и родственные синдромы, Стенокардия грудная жаба",Мельдоний ,Not value,Милдронат,Grindex /Гриндекс,Латвия,Капсулы для приема внутрь,Капсулы,Рецептурный,Не выше 25 С,Мельдоний ,500мг,Прочие средства в кардиологии
68_2022-12-28,Милдронат раствор для инъекций 100мг/мл ампулы 5мл №10,400.0,256.0,400.0,0,0,mildronat_rastvor_dlya_inekcij_10_ampuly_5ml_10,11.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Ишемическая болезнь сердца, Инфаркт мозга, Психическое и поведенческое расстройство, вызванное употреблением алкоголя. Абстинентное состояние, Преходящие транзиторные церебральные ишемические приступы атаки и родственные синдромы, Окклюзии сосудов сетчатки",Мельдоний ,Not value,Милдронат,Grindex /Гриндекс,Польша,Раствор для инъекций,Растворы,Рецептурный,Не выше 25 С,Мельдоний ,100мг/мл,Прочие средства в кардиологии
69_2022-12-28,Милдронат раствор для инъекций 100мг/мл ампулы 5мл №20,715.0,553.0,715.0,0,0,mildronat_rastvor_dlya_inekcij_10_ampuly_5ml_20,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Ишемическая болезнь сердца, Инфаркт мозга, Психическое и поведенческое расстройство, вызванное употреблением алкоголя. Абстинентное состояние, Преходящие транзиторные церебральные ишемические приступы атаки и родственные синдромы, Окклюзии сосудов сетчатки",Мельдоний ,Not value,Милдронат,Grindex /Гриндекс,Польша,Раствор для инъекций,Растворы,Рецептурный,Не выше 25 С,Мельдоний ,100мг/мл,Прочие средства в кардиологии
70_2022-12-28,"Моксонидин таблетки 0,2мг №28",178.0,131.0,178.0,0,0,moksonidin_tabletki_0_2mg_28,15.0,5.0,0,0,1,serdechnososudistaya,2022-12-28,Эссенциальная первичная гипертензия,Моксонидин,Not value,Моксонидин,"ЗАО ""Северная Звезда""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Моксонидин,0.2мг,Средства снижающие давление
73_2022-12-28,Небиволол таблетки 5мг №28,402.0,335.0,402.0,0,0,nebivolol_tabletki_5mg_28,22.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Эссенциальная первичная гипертензия, Застойная сердечная недостаточность",Небиволол,Not value,Небиволол,"ЗАО ""Северная Звезда""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Небиволол,5мг,Средства снижающие давление
76_2022-12-28,Нитроглицерин таблетки 0.5мг №40,66.0,51.0,66.0,0,0,nitroglicerin_tabletki_0_5mg_40,1.0,0.0,0,0,0,serdechnososudistaya,2022-12-28,,Нитроглицерин,Not value,Нитроглицерин,"АО ""Медисорб""",Россия,Таблетки,Таблетки,Без рецепта,Не выше 25 С,Нитроглицерин,0.5мг,Прочие средства в кардиологии
77_2022-12-28,Ницерголин лиофилизат для инъекций 4мг ампулы 5мл №5+растворитель,1233.0,873.0,1233.0,0,0,nicergolin_liofilizat_dlya_inekcij_4mg_ampuly_5ml_5_rl,17.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Мигрень, Инфаркт мозга",Ницерголин,Для памяти,Ницерголин,"Микроген НПО, ФГУП",Россия,Лиофилизат для приготовления раствора для инъекций,Лиофилизат,Рецептурный,Не выше 10 C,Ницерголин,4мг,Средства улучшающие мозговое кровообращение
88_2022-12-28,Пирацетам таблетки 800мг №30,104.0,77.0,104.0,0,0,piracetam_tabletki_800mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Сосудистая деменция, Болезнь Альцгеймера, Головокружение и нарушение устойчивости, Инфаркт мозга",Пирацетам,Not value,Пирацетам,"АО ""Алиум""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Пирацетам,800мг,Not value
95_2022-12-28,Розувастатин таблетки 10мг №30,342.0,236.0,342.0,0,0,rozuvastatin_tabletki_10mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Атеросклероз, Инфаркт мозга, Чистая гиперглицеридемия, Смешанная гиперлипидемия, Острый инфаркт миокарда",Розувастатин,Not value,Розувастатин,"ЗАО ""Алси Фарма""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Розувастатин,10мг,Гиполипидемические средства (Статины)
96_2022-12-28,Розувастатин таблетки 20мг №30,418.0,314.0,418.0,0,0,rozuvastatin_tabletki_20mg_30,23.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Атеросклероз, Инфаркт мозга, Чистая гиперхолестеринемия, Чистая гиперглицеридемия, Смешанная гиперлипидемия",Розувастатин,Not value,Розувастатин,"ЗАО ""Северная Звезда""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Розувастатин,20мг,Гиполипидемические средства (Статины)
101_2022-12-28,Мукосат раствор для инъекций 100мг/мл ампулы 2мл №10,1807.0,1139.0,1807.0,0,1,mukosat_rastvor_dlya_inekcij_100mgml_ampuly_2ml_10,71.0,5.0,1,0,1,obezbolivayushchie,2022-12-28,"Полиартроз, Артроз неуточненный, Остеохондроз позвоночника, Спондилез, Перелом в неуточненной области тела",Хондроитинсульфат,Not value,Мукосат,"ООО ""Эллара""",Россия,Раствор для инъекций,Растворы,Рецептурный,Не выше 20 С,Хондроитинсульфат,100мг/мл,Хондропротекторы
102_2022-12-28,Ибупрофен капсулы 200мг №20,202.0,156.0,202.0,0,1,ibuprofen_kapsuly_200mg_20,0.0,0.0,1,0,1,obezbolivayushchie,2022-12-28,"Мигрень, Головная боль, Миалгия, Боль в суставе, Острая инфекция верхних дыхательных путей неуточненная",Ибупрофен,Not value,Ибупрофен,"АО ""Медисорб""",Россия,Капсулы для приема внутрь,Капсулы,Рецептурный,Не выше 25 С,Ибупрофен,200мг,Противовоспалительные средства (внутренние)
103_2022-12-28,Мелоксикам таблетки 15мг №10,276.0,230.0,276.0,0,1,meloksikam_tab_15mg_10,0.0,0.0,1,0,1,obezbolivayushchie,2022-12-28,"Боль в суставе, Серопозитивный ревматоидный артрит, Артрит неуточненный, Полиартроз, Артроз неуточненный",Мелоксикам,Not value,Мелоксикам,"ООО ""Озон""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Мелоксикам,15мг,Противовоспалительные средства (внутренние)
104_2022-12-28,"Кетопрофен-Вертекс гель 2,5% 50г",246.0,205.0,246.0,1,1,ketoprofenverteks_gel_2_5_50g,16.0,4.0,1,0,0,obezbolivayushchie,2022-12-28,"Подагра, Миалгия, Боль в суставе",Кетопрофен,Домашняя аптечка,Кетопрофен,АО «ВЕРТЕКС»,Россия,Гель для наружного применения,Гель,Без рецепта,Не выше 20 С,Кетопрофен,2.5%,Противовоспалительные и обезболивающие средства (наружные)
105_2022-12-28,Ксефокам рапид таблетки 8мг №12,578.0,352.0,578.0,0,1,ksefokam_rapid_tabletki_8mg_12,13.0,5.0,1,0,1,obezbolivayushchie,2022-12-28,"Острая боль, Другая постоянная боль",Лорноксикам,"Домашняя аптечка, Аптечка путешественника",Ксефокам,Takeda GmbH/Такеда,Германия,Таблетки,Таблетки,Рецептурный,Не выше 30 С,Лорноксикам,8мг,Противовоспалительные средства (внутренние)
106_2022-12-28,Мукосат раствор для инъекций 100мг/мл ампулы 1мл №10,1112.0,695.0,1112.0,0,1,mukosat_rastvor_dlya_inekcij_100mgml_ampuly_1ml_10,41.0,0.0,1,0,1,obezbolivayushchie,2022-12-28,"Полиартроз, Артроз неуточненный, Остеохондроз позвоночника, Спондилез, Перелом в неуточненной области тела",Хондроитинсульфат,Для суставов,Мукосат,"ООО ""Эллара""",Россия,Раствор для инъекций,Растворы,Рецептурный,Не выше 20 С,Хондроитинсульфат,100мг/мл,Хондропротекторы
107_2022-12-28,Апизартрон мазь 20г,495.0,315.0,495.0,1,1,apizartron_maz_20g,11.0,5.0,1,1,0,obezbolivayushchie,2022-12-28,"Миалгия, Боль в суставе, Болезнь периферических сосудов неуточненная, Серопозитивный ревматоидный артрит, Полиартроз","Аллилизотиоцианат, Метилсалицилат, Пчелиный яд",Not value,Апизартрон,Эспарма ГмбХ/Esparma GmbH,Германия,Мазь для наружного применения,Мазь,Без рецепта,Не выше 25 С,Пчелиный яд+Аллилизотиоцианат+Метилсалицилат,3мг+10мг+100мг,Противовоспалительные и обезболивающие средства (наружные)
108_2022-12-28,Фитобальзам разогревающий 30мл,188.0,158.0,188.0,1,1,fitobalzam_razogrevayushchij_30ml,12.0,5.0,1,1,0,obezbolivayushchie,2022-12-28,,"Камфора, Ментол, Терпентинное масло, Эвкалипта масло","Профилактика простуды и гриппа, вальтарен, для всей семьи, домашняя аптечка, от простуды, горчичник",Фитобальзам,"ПКФ ""Две линии""",Россия,Бальзам для наружного применения,Бальзам,Not value,Не выше 25 С,Камфора+Ментол+Терпентинное масло+Эвкалипта масло,Отсутствует,Not value
109_2022-12-28,Артра таблетки №120,3602.0,2449.0,3602.0,1,1,artra_tabletki_120,129.0,5.0,1,1,0,obezbolivayushchie,2022-12-28,"Полиартроз, Артроз неуточненный, Остеохондроз позвоночника, Спондилез","Хондроитинсульфат, Глюкозамина сульфат",Для суставов,Артра,Unipharm Inc./ Юнифарм Инк.,США,Таблетки,Таблетки,Без рецепта,Не выше 25 С,Хондроитинсульфат+Глюкозамина сульфат,500мг+500мг,Хондропротекторы
110_2022-12-28,Артраксикам крем 30г,459.0,284.0,459.0,1,1,artraksikam_krem_30g,0.0,0.0,1,1,0,obezbolivayushchie,2022-12-28,"Миалгия, Боль в суставе, Серопозитивный ревматоидный артрит, Артрит неуточненный, Полиартроз","Мелоксикам, Перца стручкового настойка",Not value,Артраксикам,"ОАО ""Нижфарм""",Россия,Крем для наружного применения,Крем,Без рецепта,Не выше 25 С,Мелоксикам+Перца стручкового настойка,30мг+100мг,Not value
111_2022-12-28,Индометацин суппозитории ректальные 50мг №10,107.0,85.0,107.0,0,1,indometacin_suppozitorii_rektalnye_50mg_10,0.0,0.0,1,0,1,obezbolivayushchie,2022-12-28,"Подагра, Миалгия, Боль в суставе, Поражения нервных корешков и сплетений, Болезнь Рейтера",Индометацин,Not value,Индометацин,"ООО ""Тульская ФФ""",Россия,Суппозитории ректальные,Суппозитории,Рецептурный,Не выше 25 С,Индометацин,50мг,Not value
