name_item_price,parsing_day,price_withCard,price_withPeriod,price_withoutCard
Аджиколд хотмикс порошок для приготовления раствора для приема внутрь Апельсин пакетики №5,2023-05-07,182.0,151.0,182.0
Скипидарная мазь 25г,2023-05-07,42.0,31.0,42.0
Артраксикам крем 30г,2023-05-07,487.0,297.0,487.0
Фламакс раствор 50мг/мл ампулы 2мл №10,2023-05-07,283.0,221.0,283.0
Камфорный спирт раствор 2% флакон 40мл,2023-05-07,74.0,57.0,74.0
Парацетамол таблетки шипучие 500мг №12,2023-05-07,143.0,107.0,143.0
Горячее питье со вкусом Вишни саше 5г №10,2023-05-07,184.0,153.0,184.0
Эторелекс таблетки 90мг №28,2023-05-07,732.0,610.0,732.0
Димексид гель 25% 30г,2023-05-07,286.0,218.0,286.0
Дексонал таблетки 25мг №10,2023-05-07,409.0,325.0,409.0
Горячее питье БерриВитС Эхинацея и бузина стик 4г №10,2023-05-07,178.0,148.0,178.0
Папаверина гидрохлорид раствор для инъекций 2% ампулы 2мл №10 Дальхимфарм,2023-05-07,126.0,100.0,126.0
Парацетамол таблетки 500мг №20,2023-05-07,41.0,36.0,41.0
Фламадекс раствор для внутривенного и внутримышечного введения 25мг/мл ампулы 2мл №5,2023-05-07,239.0,195.0,239.0
Целекоксиб капсулы 200мг №30,2023-05-07,635.0,529.0,635.0
Фламакс раствор 50мг/мл ампулы 2мл №5,2023-05-07,147.0,117.0,147.0
Доктор Перец Лейкопластырь перцовый10х18см перфорированный №1,2023-05-07,63.0,51.0,63.0
Колдакт с витмином С таблетки №10,2023-05-07,249.0,249.0,385.0
Колдакт флю плюс капсулы №10,2023-05-07,354.0,212.0,354.0
Лейкопластырь перцовый 10х18см перфорированный,2023-05-07,54.0,42.0,54.0
Нимесулид таблетки 100мг №30,2023-05-07,233.0,192.0,233.0
Скипидарная мазь 25г,2023-05-07,46.0,35.0,46.0
Эмла крем 5г №5,2023-05-07,2326.0,1776.0,2326.0
Ибупрофен гель 5% 50г,2023-05-07,94.0,90.0,94.0
Камфорное масло флакон пластиковый 30мл,2023-05-07,54.0,34.0,54.0
Седальгин плюс таблетки №10,2023-05-07,278.0,164.0,278.0
Аленталь таблетки 100мг №60,2023-05-07,933.0,778.0,933.0
Спазмастоп таблетки №10,2023-05-07,89.0,70.0,89.0
Аторика таблетки 90мг №28,2023-05-07,576.0,576.0,720.0
Вольтарен эмульгель гель 1% 50г,2023-05-07,635.0,363.0,635.0
АнвиМакс порошок для приготовления раствора для приема внутрь Лимон пакеты №12,2023-05-07,531.0,383.0,531.0
Диклофенак мазь 1% 30г,2023-05-07,130.0,98.0,130.0
Эторелекс таблетки 60мг №14,2023-05-07,322.0,268.0,322.0
Спазмалгон таблетки №20,2023-05-07,281.0,165.0,281.0
Бутадион мазь 5% 20г,2023-05-07,248.0,188.0,248.0
Перца стручкового настойка флакон 25мл Тульская ФФ,2023-05-07,39.0,27.0,39.0
АнвиМакс порошок для приготовления раствора для приема внутрь Малина пакетики №6,2023-05-07,306.0,210.0,306.0
Доктор Перец Лейкопластырь перцовый 10х18см без перфорации №1,2023-05-07,56.0,43.0,56.0
Брустан таблетки 400мг+325мг №10,2023-05-07,268.0,158.0,268.0
Бом - Бенге мазь для наружного применения 25г,2023-05-07,43.0,32.0,43.0
Скипидарный крем 20% 75мл,2023-05-07,108.0,108.0,154.0
Вольтарен эмульгель гель 1% 100г,2023-05-07,937.0,668.0,937.0
Бикситор таблетки 60мг №10,2023-05-07,414.0,289.0,414.0
Перца стручкового настойка флакон 25мл Ярославская ФФ,2023-05-07,35.0,25.0,35.0
Найсулид гранулы для приготовления суспензии 100мг пакет 2г №30,2023-05-07,745.0,539.0,745.0
Баралгин М таблетки №20,2023-05-07,338.0,227.0,338.0
АнвиМакс порошок для приготовления раствора для приема внутрь Лимон пакетики №6,2023-05-07,293.0,210.0,293.0
Ибупрофен капсулы 200мг №20,2023-05-07,202.0,156.0,202.0
Амелотекс гель 1% 50г,2023-05-07,460.0,309.0,460.0
АнвиМакс порошок для приготовления раствора для приема внутрь Мед/лимон пакетики №6,2023-05-07,304.0,210.0,304.0
"Кетопрофен гель 2,5% 100г",2023-05-07,249.0,249.0,356.0
Брал таблетки №20,2023-05-07,151.0,86.0,151.0
Мелоксикам таблетки 15мг №10,2023-05-07,297.0,247.0,297.0
Быструмгель гель 2.5% 50г,2023-05-07,345.0,263.0,345.0
Эторелекс таблетки 120мг №7,2023-05-07,350.0,271.0,350.0
АнвиМакс порошок для приготовления раствора для приема внутрь Малина пакеты №12,2023-05-07,540.0,384.0,540.0
Быструмгель гель 2.5% 100г,2023-05-07,681.0,432.0,681.0
Аторика таблетки 90мг №7,2023-05-07,408.0,274.0,408.0
АнвиМакс порошок для приготовления раствора для приема внутрь Лимон пакеты №3,2023-05-07,187.0,130.0,187.0
Пластырь Нанопласт форте 11х16см №3,2023-05-07,299.0,249.0,299.0
Камфорный спирт раствор 10% флакон 40мл,2023-05-07,37.0,26.0,37.0
Нимика таблетки диспергируемые 100мг №20,2023-05-07,252.0,185.0,252.0
Цитрамон П Реневал таблетки №10,2023-05-07,87.0,58.0,87.0
"Мелоксикам таблетки 7,5мг №20",2023-05-07,169.0,134.0,169.0
Парацитолгин таблетки 400мг+325мг №10,2023-05-07,195.0,115.0,195.0
Салвисар мазь 25г,2023-05-07,305.0,223.0,305.0
Нимесулид таблетки 100мг №20,2023-05-07,104.0,82.0,104.0
Горячее питье БерриВитС Норд с витамином С и цинком стик 5г №20,2023-05-07,256.0,204.0,256.0
Диклофенак гель 1% 100г,2023-05-07,292.0,243.0,292.0
Нурофаст форте таблетки 400мг №20,2023-05-07,150.0,129.0,150.0
АнвиМакс порошок для приготовления раствора для приема внутрь Малина пакеты №3,2023-05-07,192.0,132.0,192.0
Меновазин раствор для наружного применения флакон 40мл,2023-05-07,43.0,31.0,43.0
Колдрекс хотрем порошок для приготовления раствора для приема внутрь Лимон пакетики №5,2023-05-07,355.0,235.0,355.0
Мелоксикам таблетки 15мг №20,2023-05-07,141.0,112.0,141.0
Пластырь Нанопласт форте 9х12см №3,2023-05-07,261.0,217.0,261.0
Стопгрипан форте порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2023-05-07,566.0,403.0,566.0
Ибуклин Экспресс порошок для приготовления раствора для приема внутрь 5г №6,2023-05-07,274.0,180.0,274.0
АнвиМакс порошок для приготовления раствора для приема внутрь Мед/лимон пакетики №3,2023-05-07,190.0,130.0,190.0
Диартрин капсулы 50мг №30,2023-05-07,1052.0,876.0,1052.0
Пластырь Нанопласт форте 3х8см №9,2023-05-07,242.0,202.0,242.0
Пластырь Нанопласт форте 7х9см №3,2023-05-07,184.0,154.0,184.0
Ацеклофенак таблетки 100мг №20,2023-05-07,330.0,224.0,330.0
Колдрекс МаксГрипп порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2023-05-07,715.0,529.0,715.0
Аторика таблетки 60мг №28,2023-05-07,700.0,507.0,700.0
Найз Активгель 1% 50г,2023-05-07,462.0,282.0,462.0
Антистен МВ таблетки 35мг №60,2023-05-07,440.0,309.0,440.0
Розувастатин Вертекс таблетки 20мг №30,2023-05-07,904.0,636.0,904.0
Амлодипин таблетки 5мг №60,2023-05-07,117.0,110.0,117.0
Аторвастатин таблетки 10мг №30,2023-05-07,201.0,195.0,201.0
Лотонел таблетки 5мг №60,2023-05-07,728.0,606.0,728.0
Калий Магний таблетки №30,2023-05-07,204.0,184.0,204.0
Тримектал ОД таблетки 80мг №60,2023-05-07,1350.0,998.0,1350.0
Крем для ног тонизирующий 75мл,2023-05-07,80.0,80.0,132.0
Боярышник настойка флакон 25мл,2023-05-07,85.0,68.0,85.0
Венарус таблетки 500мг №60,2023-05-07,1529.0,1098.0,1529.0
Лизиноприл таблетки 20мг №30,2023-05-07,227.0,200.0,227.0
Симвастатин таблетки 20мг №30,2023-05-07,262.0,252.0,262.0
Аспармак таблетки №60,2023-05-07,148.0,128.0,148.0
"Бисопролол таблетки 2,5мг №30 Озон",2023-05-07,103.0,97.0,103.0
Неовен 500мг таблетки №30,2023-05-07,498.0,398.0,498.0
Ангиорус гель для ног 1% 120мл,2023-05-07,965.0,803.0,965.0
Аторвастатин таблетки 20мг №90,2023-05-07,914.0,838.0,914.0
"Бравадин таблетки 7,5мг №28",2023-05-07,549.0,385.0,549.0
Кардиом Коэнзим Q10 Форте капсулы №30,2023-05-07,1913.0,1450.0,1913.0
Розувастатин таблетки 10мг №30,2023-05-07,464.0,383.0,464.0
Торасемид таб. 5мг №60,2023-05-07,282.0,235.0,282.0
Троксевазин гель 2% 40г,2023-05-07,418.0,244.0,418.0
"Моксонидин таблетки 0,2мг №30",2023-05-07,238.0,200.0,238.0
Детравенол таблетки 1000мг №60,2023-05-07,2855.0,2012.0,2855.0
Кардиом Коэнзим Q10  капсулы №60,2023-05-07,1553.0,1177.0,1553.0
Флебофа таблетки 600мг №30,2023-05-07,888.0,740.0,888.0
Каптоприл таблетки 50мг №40,2023-05-07,207.0,170.0,207.0
Аторвастатин таблетки 10мг №30,2023-05-07,192.0,160.0,192.0
Валидол капсулы подъязычные 50мг №40,2023-05-07,78.0,62.0,78.0
Троксерутин Акос гель 2% 30г,2023-05-07,110.0,73.0,110.0
Лотонел таблетки 10мг №30,2023-05-07,574.0,478.0,574.0
Лизиноприл таблетки 10мг №30,2023-05-07,139.0,120.0,139.0
Торасемид таблетки 5мг №30,2023-05-07,291.0,193.0,291.0
Розувастатин таблетки 20мг №30,2023-05-07,450.0,375.0,450.0
Рибоксин раствор для инъекций 2% ампулы 10мл №10,2023-05-07,145.0,116.0,145.0
Лошадиная сила Гель тонизирующий с конским каштаном и экстрактом пиявки 125мл,2023-05-07,349.0,349.0,499.0
Детравенол таблетки 500мг №30,2023-05-07,797.0,592.0,797.0
Розувастатин таблетки 20мг №30,2023-05-07,1088.0,906.0,1088.0
Спиронолактон капсулы 50мг №30,2023-05-07,150.0,140.0,150.0
Кардиом Калий/Магний таб. №50,2023-05-07,490.0,342.0,490.0
Лерканорм таблетки 10мг №30,2023-05-07,497.0,414.0,497.0
Боярышник настойка флакон 25мл Гиппократ,2023-05-07,38.0,26.0,38.0
Валидол таблетки для рассасывания 60мг №10,2023-05-07,51.0,35.0,51.0
Розувастатин таблетки 10мг №90,2023-05-07,1224.0,1013.0,1224.0
Бисопролол таблетки 5мг №30 Вертекс,2023-05-07,104.0,104.0,104.0
Венолайф гель 100г,2023-05-07,1106.0,922.0,1106.0
Лотонел таблетки 5мг №30,2023-05-07,428.0,356.0,428.0
Троксерутин капсулы 300мг №100,2023-05-07,590.0,590.0,844.0
Боярышник настойка флакон 25мл,2023-05-07,38.0,25.0,38.0
Периндоприл таблетки 4мг №30,2023-05-07,363.0,245.0,363.0
Гидрохлортиазид таблетки 25мг №20,2023-05-07,58.0,42.0,58.0
Троксерутин Вертекс капсулы 300мг №100,2023-05-07,843.0,702.0,843.0
Аспаркам таблетки №56,2023-05-07,109.0,103.0,109.0
Диосмин 1000мг + Гесперидин со вкусом апельсин саше 10мл №30,2023-05-07,988.0,788.0,988.0
Розувастатин таблетки 10мг №30,2023-05-07,530.0,400.0,530.0
Рибоксин раствор для инъекций 2% ампулы 5мл №10,2023-05-07,115.0,92.0,115.0
"Моксонидин таблетки 0,2мг №14",2023-05-07,151.0,131.0,151.0
Аскорутин таблетки №50 Алтайвитамины,2023-05-07,100.0,80.0,100.0
Розувастатин таблетки 10мг №30,2023-05-07,660.0,550.0,660.0
Венолайф гель 40г,2023-05-07,500.0,405.0,500.0
Троксерутин капсулы 300мг №50,2023-05-07,397.0,330.0,397.0
Идринол раствор для инъекций 100мг/мл 5мл ампулы №10,2023-05-07,417.0,347.0,417.0
Спиронолактон капсулы 100 мг №30,2023-05-07,229.0,214.0,229.0
Лизиноприл таблетки 5мг №30,2023-05-07,98.0,89.0,98.0
Диоридинвел таблетки 500мг №30,2023-05-07,525.0,437.0,525.0
Валсартан таблетки 80мг №30,2023-05-07,249.0,207.0,249.0
Аторвастатин таблетки 20мг №30,2023-05-07,283.0,242.0,283.0
Валсартан таблетки 160мг №30,2023-05-07,510.0,425.0,510.0
Калия оротат таблетки 0.5г №20,2023-05-07,188.0,150.0,188.0
Фуросемид таблетки 40мг №50,2023-05-07,49.0,44.0,49.0
Розувастатин таблетки 5мг №90,2023-05-07,689.0,569.0,689.0
Рибоксин таблетки 200мг №50,2023-05-07,98.0,78.0,98.0
Тримектал ОД таблетки 80мг №30,2023-05-07,700.0,498.0,700.0
Розувастатин таблетки 20мг №30,2023-05-07,1066.0,887.0,1066.0
"Бисопролол таблетки 2,5мг №30 Вертекс",2023-05-07,95.0,95.0,95.0
Детравенол таблетки 1000мг №18,2023-05-07,929.0,590.0,929.0
Валсартан таблетки 80мг №30,2023-05-07,356.0,296.0,356.0
Тромбогель 1000 гель 30г,2023-05-07,375.0,375.0,500.0
Розувастатин таблетки 20мг №30,2023-05-07,728.0,593.0,728.0
Гидрохлортиазид таблетки 100мг №20,2023-05-07,77.0,66.0,77.0
Солгар L-Аргинин капсулы 500мг №50,2023-05-07,1104.0,920.0,1104.0
"Лозартан Н таблетки 50мг+12,5мг №30",2023-05-07,273.0,225.0,273.0
Розувастатин таблетки 10мг №30,2023-05-07,597.0,433.0,597.0
Крем для ног с экстрактом пиявки 75мл,2023-05-07,68.0,68.0,112.0
Троксерутин капсулы 300мг №50,2023-05-07,486.0,405.0,486.0
Валидол таблетки для рассасывания 60мг №10,2023-05-07,65.0,42.0,65.0
Спиронолактон таблетки 25мг №20,2023-05-07,69.0,56.0,69.0
Рибоксин раствор для инъекций 2% ампулы 5мл №10,2023-05-07,110.0,85.0,110.0
Лозартан таблетки 50мг №90,2023-05-07,402.0,359.0,402.0
Розувастатин таблетки 20мг №30,2023-05-07,434.0,360.0,434.0
Рибоксин раствор для инъекций 2% ампулы 10мл №10,2023-05-07,173.0,116.0,173.0
Ацетазоламид таблетки 250мг №30,2023-05-07,237.0,178.0,237.0
Лозартан таблетки 100мг №30,2023-05-07,206.0,189.0,206.0
Эзетимиб таб. 10мг №30,2023-05-07,666.0,440.0,666.0
Лозартан таблетки 25мг №30,2023-05-07,118.0,112.0,118.0
Роксера таблетки 10мг №90,2023-05-07,1891.0,1197.0,1891.0
Корвалол капли для приема внутрь фл. 25мл Гиппократ,2023-05-07,33.0,23.0,33.0
Мельдоний капсулы 250мг №40 Озон,2023-05-07,417.0,340.0,417.0
Триампур композитум таблетки №50,2023-05-07,577.0,462.0,577.0
Симвастатин таблетки 10мг №30,2023-05-07,135.0,133.0,135.0
Горячее питье со вкусом Вишни саше 5г №10,2023-05-07,184.0,153.0,184.0
Рафамин таблетки для рассасывания №20,2023-05-07,806.0,596.0,806.0
ИнгаСпрей спрей 50мл,2023-05-07,148.0,118.0,148.0
Морская вода гиалуроновая кислота и эктоин спрей флакон 50мл,2023-05-07,238.0,198.0,238.0
Сироп Первоцвета с витамином С флакон 150мл,2023-05-07,167.0,167.0,238.0
Афлюдол таблетки 50мг №20,2023-05-07,237.0,198.0,237.0
Горячее питье БерриВитС Эхинацея и бузина стик 4г №10,2023-05-07,178.0,148.0,178.0
"Нафтизин капли назальные 0,1% флакон 15мл",2023-05-07,52.0,40.0,52.0
Эвкалипт и хлоргексидин спрей 50мл,2023-05-07,218.0,167.0,218.0
Аквалор Беби спрей назальный флакон 150мл,2023-05-07,610.0,394.0,610.0
Линкас сироп флакон 90мл,2023-05-07,237.0,177.0,237.0
Сироп Солодки Легкое дыхание флакон 150мл,2023-05-07,91.0,81.0,91.0
Септолете Тотал таблетки №16,2023-05-07,442.0,335.0,442.0
Колдакт с витмином С таблетки №10,2023-05-07,249.0,249.0,385.0
Римантадин таблетки 50мг №20,2023-05-07,147.0,101.0,147.0
ЭвкаСол спрей флакон 50мл,2023-05-07,204.0,174.0,204.0
Нео - ангин таблетки для рассасывания без сахара №16,2023-05-07,286.0,239.0,286.0
Колдакт флю плюс капсулы №10,2023-05-07,354.0,212.0,354.0
Ингарон лиофилизат для назальных капель 100тыс.МЕ флакон №1,2023-05-07,335.0,296.0,335.0
Пастилки Блиц  Эвкалипт и Солодка со вкусом Лимона для рассасывания №16,2023-05-07,178.0,148.0,178.0
Аквалор Актив форте спрей назальный флакон 150мл,2023-05-07,683.0,471.0,683.0
Долфин Средство детское для промывания носа пaкетики №30,2023-05-07,572.0,477.0,572.0
Септолете Тотал таблетки для рассасывания Мед+Лимон №16,2023-05-07,437.0,316.0,437.0
Бронхофарм капсулы №30,2023-05-07,153.0,153.0,218.0
Изофра спрей назальный флакон 15мл,2023-05-07,659.0,413.0,659.0
Пастилки Блиц Эвкалипт и Солодка для рассасывания №16,2023-05-07,178.0,148.0,178.0
Лоролизин таблетки для рассасывания №30,2023-05-07,288.0,218.0,288.0
Риносист Бэби капли назальные флакон 15мл,2023-05-07,118.0,88.0,118.0
"Нафтизин капли назальные 0,05% флакон 15мл",2023-05-07,52.0,40.0,52.0
Нобазит таблетки 250мг №20,2023-05-07,586.0,429.0,586.0
Аквалор Актив софт спрей назальный флакон 150мл,2023-05-07,676.0,451.0,676.0
"Орвирем сироп 0,2% флакон 100мл",2023-05-07,459.0,323.0,459.0
АнвиМакс порошок для приготовления раствора для приема внутрь Лимон пакеты №12,2023-05-07,531.0,383.0,531.0
"Тимоген спрей 0,025% флакон 10мл",2023-05-07,535.0,381.0,535.0
Линкас сироп флакон 150мл,2023-05-07,309.0,244.0,309.0
Аква марис Норм спрей назальный флакон 150мл,2023-05-07,605.0,443.0,605.0
Протаргол 2% раствор 15мл,2023-05-07,194.0,163.0,194.0
Фаринорм Бензидамин форте спрей 15мл,2023-05-07,267.0,222.0,267.0
АнвиМакс порошок для приготовления раствора для приема внутрь Малина пакетики №6,2023-05-07,306.0,210.0,306.0
Сироп Подорожника Бронхинорм флакон 150мл,2023-05-07,153.0,122.0,153.0
Горпилс пастилки Апельсин №24,2023-05-07,155.0,124.0,155.0
"Назик детский спрей назальный 0,05мг+5мг/доза флакон 10мл",2023-05-07,310.0,259.0,310.0
Спрей для очищения и увлажнения носа с Д-пантенолом флакон 50мл,2023-05-07,174.0,143.0,174.0
Бронхо - Дозин со вкусом Апельсина пастилки №24,2023-05-07,178.0,148.0,178.0
Аква марис Экстрасильный спрей назальный флакон 150мл,2023-05-07,608.0,432.0,608.0
Шалфей таблетки для рассасывания №24,2023-05-07,148.0,118.0,148.0
Протаргол 2% спрей флакон 15мл,2023-05-07,194.0,163.0,194.0
Бронхосип сироп на травах для детей с 3-х лет 100мл,2023-05-07,138.0,118.0,138.0
Шалфей таблетки 550мг №20,2023-05-07,153.0,133.0,153.0
АнвиМакс порошок для приготовления раствора для приема внутрь Лимон пакетики №6,2023-05-07,293.0,210.0,293.0
Амброксол таблетки 30мг №20,2023-05-07,109.0,104.0,109.0
Долфин Средство для промывания носа для взрослых пaкетики №30,2023-05-07,596.0,497.0,596.0
Нео - ангин таблетки для рассасывания без сахара Вишня №24,2023-05-07,298.0,248.0,298.0
"Нафтизин капли назальные 0,1% флакон 15мл",2023-05-07,30.0,20.0,30.0
Нео - ангин таблетки для рассасывания №24,2023-05-07,291.0,242.0,291.0
Аква марис Беби спрей назальный флакон 150мл,2023-05-07,611.0,379.0,611.0
Кофасма сироп флакон 200мл,2023-05-07,358.0,269.0,358.0
АнвиМакс порошок для приготовления раствора для приема внутрь Мед/лимон пакетики №6,2023-05-07,304.0,210.0,304.0
Тораксол Солюшн таблетки диспергируемые 60мг №10,2023-05-07,157.0,143.0,157.0
"Риномарис спрей назальный 0,1% флакон 15мл",2023-05-07,177.0,134.0,177.0
Аква марис капли назальные для детей флакон 10мл,2023-05-07,219.0,133.0,219.0
Эвкалипт таблетки для горла №24,2023-05-07,148.0,118.0,148.0
Фарингосепт таблетки №20,2023-05-07,355.0,214.0,355.0
АнвиМакс порошок для приготовления раствора для приема внутрь Малина пакеты №12,2023-05-07,540.0,384.0,540.0
Аквалор Беби капли назальные флакон 15мл,2023-05-07,300.0,201.0,300.0
Тораксол Солюшн таблетки диспергируемые 30мг №10,2023-05-07,133.0,121.0,133.0
АнвиМакс порошок для приготовления раствора для приема внутрь Лимон пакеты №3,2023-05-07,187.0,130.0,187.0
Аква марис Спрей назальный флакон 30мл,2023-05-07,399.0,260.0,399.0
Шалфей Премиум 550мг таблетки №20,2023-05-07,153.0,133.0,153.0
Долфин Устройство для промывания носа для взрослых флакон 240мл + средство №30,2023-05-07,752.0,627.0,752.0
Анаферон детский капли флакон 25мл,2023-05-07,514.0,331.0,514.0
"Ксилометазолин капли назальные 0,05% флакон 15мл",2023-05-07,39.0,37.0,39.0
КамеСпрей спрей 50мл,2023-05-07,148.0,118.0,148.0
Сироп солодки с витамином С флакон 250мл,2023-05-07,101.0,91.0,101.0
"Нафтизин капли назальные 0,1% флакон 15мл",2023-05-07,33.0,23.0,33.0
Фито-Арома Таблетки для горла №50,2023-05-07,163.0,144.0,163.0
Сироп Алтея Грудной смягчающий флакон 150мл,2023-05-07,122.0,101.0,122.0
Панавир Инлайт спрей 40мл,2023-05-07,453.0,332.0,453.0
Горпилс пастилки Лимон №24,2023-05-07,155.0,124.0,155.0
"Амброксол раствор для ингаляций 7,5мг/мл флакон 100мл",2023-05-07,134.0,113.0,134.0
Горячее питье БерриВитС Норд с витамином С и цинком стик 5г №20,2023-05-07,256.0,204.0,256.0
Аква марис Плюс спрей назальный флакон 30мл,2023-05-07,451.0,271.0,451.0
Нафтизин капли назальные 0.05% флакон 15мл,2023-05-07,40.0,27.0,40.0
АнвиМакс порошок для приготовления раствора для приема внутрь Малина пакеты №3,2023-05-07,192.0,132.0,192.0
Морская вода косметическая Магия Черного моря спрей 100мл,2023-05-07,119.0,119.0,238.0
Горпилс пастилки Мед и лимон №24,2023-05-07,155.0,124.0,155.0
Джосет сироп флакон 200мл,2023-05-07,404.0,247.0,404.0
"Оксолиновая мазь 0,25% 10г",2023-05-07,90.0,69.0,90.0
Колдрекс хотрем порошок для приготовления раствора для приема внутрь Лимон пакетики №5,2023-05-07,355.0,235.0,355.0
Люгофлю спрей 50мл,2023-05-07,128.0,98.0,128.0
Лазолван рино спрей назальный 82мкг/доза флакон 10мл,2023-05-07,460.0,314.0,460.0
Ацетилцистеин лонг 600мг таблетки шипучие №10,2023-05-07,194.0,174.0,194.0
Аква марис Беби спрей назальный флакон 50мл,2023-05-07,479.0,264.0,479.0
